,DisplayText,Duration,Offset
0,Hej niklas natt varje.,3.05,1.32
1,Första gången.,1.75,12.48
2,Hmm ja jättegott.,1.92,18.34
3,"Får alltså. Hmm, hej, hej, jag heter inte orkar.",4.08,26.99
4,"Vad gör du och vart kommer du ifrån? Jag är fredrik, kommer från stockholm och har du. Ja, det var lite kommer du ifrån? Jag vill kan vara trevligt att träffas på samma på samma du spela spel. Ja, vad spännande att skriva och jag ska försöka fixa det.",21.04,32.84
5,"Hmm, vi har en minut på dig att skriva medan jag försöker att visa. Det finns en artikel om, hon kan inte säga själva ordet eller varianter av ordet. Alla andra betyder för att beskriva ordet är tillåtna.",15.08,57.67
6,20 minuter efter att spelet får sedan frågan den redan nu kör vi.,5.41,74.91
7,"Hej, det verkar inte komma igång här.",2.37,95.24
8,Hör du mig?,0.58,102.21
9,Ja.,0.44,119.3
10,Ja.,0.82,122.24
11,Den här ska få det här. Jaha.,3.07,126.99
12,Undantag.,0.57,135.07
13,Flytta ja.,1.72,138.19
14,"Skrivet kommer inte igång här. Oj, snart och då får jag en sväng. Han svarar inte på tilltal. Hmm.",8.96,144.79
15,Ja.,0.23,153.8
16,Industribyggnader.,1.44,157.7
17,Ja yes.,2.34,161.03
18,Säga.,0.46,167.08
19,Dit man går när man är sjuk.,1.6,169.68
20,Man köper webbsida.,1.61,174.16
21,Ja hmm.,3.03,176.83
22,"Butik, så ligger det där. Hmm.",3.77,179.91
23,"Hmm, ja, det är sjuk, så handlar du med tiden, ha det dom har det har dom har också rätt receptbelagda mediciner som du kan handla.",11.75,184.39
24,"Ja, du kan köpa allt från hår schampo till hmm till kondomer till hostmedicin. Ja, i den här butiken. Det är en butik, ja.",13.15,199.33
25,"Som säljer medicin, jag vet inte hur ska man förklara ja.",4.19,213.3
26,Okej.,0.59,218.73
27,"Dom är nätet, och så vad sa du?",4.86,221.49
28,Hmm tiden nej.,2.81,228.63
29,Hmm apotek ja.,2.71,232.63
30,"Ja, men skicka brev behöver du en ja hmm tyvärr toppen den skicka ett program som du köper det här fotot vi får havet hmm hmm adress nej.",17.26,241.59
31,Hmm frimärken ja.,2.6,260.63
32,Ja.,0.73,266.16
33,Kungens fru.,1.16,268.05
34,Hmm.,0.38,271.46
35,Hmm drottning ja.,2.15,275.61
36,Ja en kock som hmm.,4.18,281.19
37,Hmm.,0.51,286.8
38,Ja.,0.77,288.45
39,Hmm.,1.57,292.7
40,Men bara ja.,2.23,294.85
41,Jaha.,0.64,300.35
42,"Hmm, du ser i din egen chef. Du ser dig själv i den här prylen.",6.74,304.96
43,Hmm.,1.5,313.71
44,Hmm.,1.58,315.26
45,Du ser din egen reflektion?,2.06,317.43
46,"Ja vi tittar i den här hmm, men ja.",6.23,320.36
47,"Ja, du målar med den här.",2.44,330.18
48,Hmm.,1.35,339.9
49,De tar tar färg med den här och målar med på antingen väggen eller på papper.,6.8,343.28
50,This vattenbaserade.,1.4,351.4
51,Jaha.,0.66,353.85
52,Hmm hmm hmm man kan väl säga nej ja sam.,7.36,356.15
53,Ett rum där du tvättar dig och borsta tänderna.,3.8,368.42
54,Ja.,0.72,373.97
55,Hmm.,1.5,377.63
56,Hej hmm.,2.11,379.35
57,Ja.,0.46,381.51
58,Fågel som kan snurra på huvudet.,2.49,385.46
59,Ja.,0.83,388.73
60,Har stora ögon och anses vara vis.,3.24,392.39
61,Hmm uggla ja bra.,3.74,397.83
62,"Ja, den som vinner får ett förstapris.",5.42,404.71
63,Ja och om man vinner när man spelar fotboll så brukar man kalla den här grejen för oss.,6.58,410.82
