,Duration,Offset,DisplayText
0,15.2,0.0,
1,3.73,28.89,Första här.
2,3.68,39.52,"Hmm, hej, jag heter inte orkar."
3,6.82,44.91,Vad heter du och var kommer du ifrån? Jag heter marielle och jag kommer från vilken?
4,7.13,52.75,"Vad du heter, vart kommer du ifrån? Jag vecka, jag kommer från sverige trevligt att träffas."
5,24.72,61.51,"Vi ska spelas vidare med andra ord, vi måste beskriva i ord och jag försöker titta på varje tillsammans på surfplattan med en liten bil. Vi har en minut på hur skrivandet medan vi försöker att resa. Det finns en egen, vi kan inte säga själva ordet eller varianter av alla andra strategier för att beskriva ord är tillåtna."
6,4.45,89.41,Efter spelet från hela världen redan nu kör vi.
7,3.12,101.52,Vitt och läskigt? Ja.
8,9.92,107.07,"Den person som är död. Ja skrämmande. Hmm, vi skriver också och hmm."
9,1.37,118.02,Just det ja.
10,1.83,122.61,De sätter ett problem när du skickar dem.
11,5.29,126.97,Flickan gick det jag blev så hmm namn.
12,4.06,133.78,Hmm nej nej hmm.
13,3.5,137.93,En klisterlapp i högra hörnet på ett brev.
14,0.68,143.05,Ja.
15,3.49,146.31,"I den bil fram över marken, liksom? Ja."
16,1.51,152.38,Hmm.
17,6.32,154.47,Jag har rätta vägar ingenting. Hmm?
18,0.45,163.71,Satser.
19,5.86,168.49,Ja fru av bensin och kul. Hmm.
20,4.73,175.96,Fru så hon som styr england?
21,1.49,185.86,Hmm.
22,0.96,189.28,Extra butik.
23,1.65,192.01,Nej hon ville.
24,0.57,196.52,Jaha.
25,9.74,198.56,Så det är någonting vad det var en destu ja skriver du test och sen det var ditt resultat idag resultat.
26,4.4,210.16,Hur det resultat? Hmm recension.
27,1.76,216.9,Hmm området.
28,0.68,220.35,Mesta.
29,5.84,234.46,Blev din bostad i serien. Hmm. Ser lite bostad.
30,4.32,250.01,Hmm. Vill jobba med mat bakverk bröd?
31,5.5,255.5,"Jaha, säger han. Han gör mig ögon. Ja."
32,6.42,263.11,Hmm hmm hantverkare hmm bara värre.
33,21.44,272.32,"Hmm småkakor. Hmm ja dom är vita ljusa hmm synonymt också med det man gör på natten. Hmm citronkaka nej tack, det är skönt när vi sover och sover hmm."
34,2.81,295.81,Ja detta använder du när du målar.
35,1.77,299.96,Jaha typ en väg.
36,0.75,305.89,Hårig.
37,1.9,307.94,Hmm exempel.
38,17.46,312.3,Såväl den typ av fågel även fågel det är hmm. Vi har hmm stora ögon och får jag inte på din första på natten? Hmm.
39,1.49,333.09,Hmm.
40,4.64,336.36,Hmm ja det finns hmm.
41,4.27,341.43,"Smällare himlen i vatten, hmm?"
42,3.08,347.97,"Kommer från gris, man kan ha det på mackan."
43,0.64,352.26,Pålägg.
44,1.58,354.21,Hmm.
45,3.48,356.7,"Utan, det är en viss del av grisen."
46,1.52,361.34,Hmm dosa.
47,1.58,365.16,Här kan du handla läkemedel.
48,1.54,367.8,En butik för andra läkemedel.
49,0.79,370.04,Ja.
50,1.49,373.96,Hmm.
51,5.02,376.18,"Såg du en fysisk butik där du kan handla läkemedel, hmm?"
52,0.29,382.61,T.
53,0.63,385.23,Ja.
54,9.54,388.44,Kan du titta på dig själv? Hmm. Tänkte höra med dig om vi hade in i badrumet. Hmm.
55,3.63,399.12,"Betydligt färre? Ja, nej."
56,0.78,405.3,Visa sen.
57,2.21,408.69,Du ja.
58,1.69,412.5,Day rum.
59,1.4,415.03,Hmm då.
60,2.13,419.04,Jul med 8/1.
61,2.38,422.91,Jaha hmm spinner nät.
62,1.07,427.56,Kan vara giftig.
63,2.25,433.3,Hmm ja.
64,2.12,439.21,Vid 6 hmm synd.
65,5.11,444.35,"Hmm, det får du om du vinner en tävling. Ja."
66,4.02,453.69,Om det är första halsen.
67,0.55,458.91,Pris.
68,0.54,460.69,Ja.
69,1.23,462.86,Det är kul.
70,2.74,464.98,Hmm guld.
71,5.58,470.75,Hmm kan ha den i fönstret vattna den ja tack vara.
72,1.24,484.41,Fin att titta på.
73,5.36,489.34,Högtryck första vattna hmm pets.
74,0.52,496.94,Ja.
75,1.57,498.7,Hmm.
76,4.05,501.3,"Hmm sen typ ja, men vi kan inte göra mer."
77,1.96,506.95,"Ja, så det är hmm?"
78,1.57,511.02,Hmm.
79,2.48,513.14,Va hmm.
80,1.61,515.75,Hmm.
81,2.96,517.41,Hmm ja.
82,2.02,522.7,Hmm. Grejen i friidrott.
83,3.63,525.66,Man ska hoppa över en pinne eller en repa.
84,1.73,531.3,Springer och hoppar över.
85,1.32,534.38,Hmm.
86,8.57,539.42,Bilen är jättekallt eller är de djur till stor eftersom vi är bra på riktigt.
87,3.08,550.83,"Hmm, och nu hmm."
88,1.62,554.01,Hmm.
89,1.45,555.68,Hmm.
90,13.25,560.25,"Vissa, du måste ha det med vi logga in nån webbsida. Vi hade en användarnamn och sen blir ju det måste ha behöver någon typ av den."
91,1.57,574.39,Hmm lösenord.
92,0.42,576.04,Ja.
93,2.53,578.9,Hmm pappas bror.
94,5.81,586.45,Om vi i familjen ja alltså det är hmm mina syster ja.
95,4.89,593.74,Nej från du? Hmm.
96,1.5,602.34,Hmm.
97,1.53,604.87,Hmm.
98,7.46,606.97,"Hmm. När du sover är något som du lever som kan vara obehagligt läskigt, hmm."
99,0.02,614.95,Hmm.
100,1.72,616.46,Hmm morgon.
101,8.44,621.31,Hur djur gör du också ett stjärntecken? Jaha hmm.
102,1.54,629.98,Havoline 2.
103,2.49,633.47,Grym ju.
104,3.86,639.09,Hmm får hmm syn på ja.
105,1.94,646.32,Hmm.
106,7.21,648.97,Alltså du så det hann ja som man har hemma. Hmm känna håll ja.
107,8.44,658.25,"Dock undan du hundar och katter kan vara med, hmm?"
108,0.99,668.21,Hmm.
109,20.68,671.23,Så med du du ja går till energi gård i en by och det finns en hmm boktips av innehavet bra där står ditt namn och när du är född så när dog ja.
110,2.04,694.4,Den tavlan alldeles för någonting.
111,0.83,697.15,Ja.
112,1.63,701.14,Hmm gravsten.
113,3.59,707.36,Okej hmm så.
114,3.02,711.24,I en demokrati så.
115,1.35,715.08,Ja hmm.
116,0.45,717.39,Och.
117,1.57,719.15,Hmm.
118,1.62,720.93,Hmm.
119,3.08,724.08,"Ja, men det är första."
120,14.81,730.39,"Ja hmm instrument hmm som man slår på hmm ja hmm det kan till exempel vara en xylofon, det kan vara en triangel en trumma hmm."
121,10.77,749.43,"Hej hjälpmedel för människor som inte kan gå eller har svårt att gå, så det är nånting som sitter i för att ta sig fram. Hmm rullstol."
122,7.31,763.39,"Skriven, hmm? Det är ju en mormor eller farfar? Hmm. Det var ju bara en av alla."
123,0.63,773.77,Ja.
124,2.64,775.56,Har du? Jag tycker du är rätt?
125,1.62,781.24,Hmm.
126,1.24,783.29,Hmm ja.
127,14.09,786.76,"Det kan hända om du är, eller ska du bara tipsa alla dom kommer så lyckade hända kan inte behöver ställas mot. Ja, ja."
128,0.91,802.57,Hmm.
