,DisplayText,Duration,Offset
0,Ica.,0.69,3.14
1,Där.,0.29,15.09
2,Hmm.,0.84,19.01
3,,3.3,30.54
4,Hmm.,1.49,42.69
5,Jag inte orkar.,1.27,45.09
6,Vad är du och vart kommer du ifrån?,3.17,48.11
7,Jag kommer inte alla.,1.07,52.8
8,Och vad gör du? Går vakt kommer ut från sverige.,4.51,54.69
9,Trevligt att träffas.,1.37,60.47
10,Vi ska spela ser det med andra ord. Vi måste beskriva det och jag ska försöka gissa till varje visas på surfplattan med en liten. Vi har en minut på er att skriva ordet medan vi försöker att visa. Det finns en timme. Ni kan inte säga själva ordet eller varianter av ordet.,20.68,63.48
11,Till och.,0.75,87.48
12,Vi ska spela cirka 20 minuter efter spelet får väl hela id n redan nu kör vi.,6.74,89.05
13,Del av dig för att nå här?,1.55,102.69
14,Ta färg på den?,1.11,105.68
15,Väg.,0.45,108.48
16,Måste vi göra tillsammans?,1.47,113.4
17,Ja gissa flesta är det så att den.,3.46,119.91
18,Men hmm pensel.,1.72,124.64
19,Precis.,0.81,127.9
20,"Hmm, det är plats inomhus där man tvättar sig.",5.7,135.35
21,"Eller gå på toaletten. Hmm, badrum.",3.9,144.59
22,Ja.,0.48,153.03
23,"Dom är kakor ja, men and en bil och arm, men också när man så var vad många av dem behålla kakor. Hmm citronkaka.",15.5,156.04
24,"Hmm, från spår småkakor hårdare. Hmm, drömmar, ja.",7.68,173.1
25,"Ja, det är man ju mycket bra i klassen, då får man ja.",7.59,186.2
26,"Vad som ligger nära på lite extra, även fast det inofficiella betygsskalan.",5.42,195.02
27,Hmm.,1.56,201.32
28,"Ja, men det är ett visst betyg.",2.69,203.35
29,"Ja ja, men ändå höll det om. Det är jättenöjda med.",5.14,206.61
30,Ja ja hus.,1.92,212.72
31,"När det finns oscar, ha det finns också jaha.",5.22,218.19
32,Det blir ljusare och mer tillsammans med oss kan.,3.2,224.55
33,Hmm.,1.32,228.65
34,De kommer över mindre blir ju upp hela himlen sen kommer åskan hmm.,7.24,231.79
35,Om man kan titta på sig själv använder man en hmm jaha. Den är gjord av glas.,8.93,245.78
36,Datum jaha.,2.03,256.63
37,"Vad stora sitta på vägen? Hmm, buss.",4.24,260.63
38,Hmm spel.,1.56,267.05
39,Jag fångar flugor den gör att nät och den har 8 ben. Ja.,7.31,275.55
40,"Jag är inte en insekt, men det ser ju färre som är svåra. Hmm, sina.",6.52,285.23
41,Hmm. Han hade hundarna skapar bröd till exempel. Ja eller kakor.,10.2,294.68
42,"Hmm hantverkare hmm vi mycket speciell typ av att motverka att jobba med diagram miljö, kanske lite socker gästande säkert och sådär.",13.0,306.0
43,Fast jag gör.,0.98,320.16
44,"Ja, det är speciellt.",3.32,322.04
45,"Fjärde som säljer färsk, jag där jobbar en sådan. Ja.",5.7,326.93
46,De som ska jäsas att sättas in i ugnen. Hmm barnen.,6.16,335.99
47,Hmm.,1.51,346.42
48,"De finns inte på riktigt, men kanske barn tror på dem de bor på jätte gamla hus.",9.7,348.18
49,Man kan inte heller 20 år kanske.,3.55,360.02
50,"Jag, du kan skrämma folk? Ja.",3.81,367.56
51,"Ja, det fanns en film som kallas för kasper. Hmm, smaken.",5.46,372.86
52,"Om man inte vill uppröra, men vi har nog köpa mat i samhället, ska ta i munnen väldigt litet. Om man är dålig, vart går man då går man till den här affären?",13.63,383.57
53,Hmm.,1.6,398.86
54,"Nej, det är inte. Får man riktigt mår dåligt och har ont i huvudet.",5.95,400.51
55,Köpa små kulor hmm nej den det finns en till ja.,9.01,408.55
56,Hmm hon.,1.65,419.75
57,Den här gången sprut. Jaha.,4.1,421.45
58,Hmm ja kommit nu och har ofta är kronan även kan vara vara i stället för kung elizabeth. Den andra i storbritannien är en sådan.,13.34,427.85
59,"Hmm, vi tror att det finns en vän som kallas för hmm christian verk kanske? Ja du vägen upp talet efter den den som var hade du det denna position i sverige? Ja, högsta position i sverige kan det kommer att bli.",21.58,445.79
60,"Ja nej, det är ju vad till pris, hmm.",5.64,470.4
61,"Ja om man går på middag ja till exempel hmm äter man. Men vilken typ av mat man kan inte, man måste äta direkt ur inte långsamt. Hmm mat ja.",17.02,480.13
62,Om man går i snön så kan vi ut sina som har gått på kallas det. Hmm.,8.26,499.95
63,Men vårt förslag spår inte lika stor som helst.,4.02,508.78
64,"Om man går inte med händerna, till exempel mandat.",4.26,515.08
65,Man sätter en person som går. Det är inte en bil som har kört in i snön. Då blir det en viss typ av spår för en person. Hmm fotspår.,10.76,524.19
66,"Ja ja dom, här bjuda djur och de bör till exempel på antarctic. Ja, dom är vida och stora och dom är liten. Då är björn ja.",19.08,537.85
67,"Och det här är nånting som man ser om man tittar upp från det här huset kan man säkert se några sådana för då sticker upp över dom andra hus. I serien är en del av ett hus och inte vilket hus som helst det religiöst hus. Hmm, hon.",21.88,558.55
68,"Ja, så det finns rätter som finns inte i andra land, i alla länder till exempel om man vill säga något, hmm, det här man har rätt till.",14.79,584.2
69,"Det är ett smycke, hmm, eller en grej som man kan göra så mycket idag och det är genomskinlig gul brun.",14.78,602.04
70,"Det finns en del ja från östersjön och det är baseras på koda, hmm.",9.28,617.95
71,Nej kåda från träden som har blivit ihoptryckt och får denna form hmm stenar.,9.99,627.29
72,Barns in.,0.85,639.02
73,"Ja, det här är ett jul.",1.48,643.54
74,Ja så man kan hoppa högt tror jag ja och promenerar ofta i bergstrakter. Kanske allt börja. Ja har du ja.,11.49,646.62
75,Dom har ju god våra system.,3.93,659.91
76,"Ja, det är.",3.01,665.39
77,"Han verkar ha söner och döttrar om en söner och döttrar, 2 söner och döttrar. Så vad kallar man dom? Hmm.",10.15,671.49
78,"Ja, där har du mina kläder? Ja, det här är nåt i min saab rum där du ja hatar dessa skåp. Men just för kläder. Ja, vad heter det? Hmm.",20.94,686.13
79,Hmm.,1.54,707.12
80,Ett äldre man vad kallas handball bok jaha.,4.68,712.51
81,"Men det kan också vara släckt skärm, hmm, varje? Det blir ytterligare liksom. Mycket hellre vann den här. Hmm, kan du lyssna? Ja nej, den syskon till din pappa hmm.",20.87,719.27
82,"Det här är och kan också vara med kyrkor och sticker upp men inte lika högt och så dyker upp från, ofta från gräsmattan och så och kanske en gång heter eller så är det den märkningen.",18.04,743.37
83,"Ja, här har vi funkar ju trevligt med lite plantor hemma, ja.",6.55,765.46
84,Har ganska lite jord. Hmm?,4.06,774.5
85,"Ja, man kan spela musik med dom på ska slå är jaha tror det är en typ av eller så kan man ha cymbaler, triangeln och lite allvar kallas denna grupp av musikinstrument.",17.97,782.77
86,"Hmm, slå av dig till mig?",3.45,801.61
87,"Ja, det här är idrott där man måste gå upp över en, hmm?",8.59,808.81
88,Hmm.,0.77,817.71
89,Nej ja.,1.66,823.08
90,"Hmm, till nätterna och då kan man uppleva några riktigt hemska saker när man sover.",8.53,827.73
91,Ofta barn har dom vill sa min pappa och mamma efter ja.,5.32,839.23
92,Hmm.,1.39,847.54
93,Hmm morgon.,1.49,851.94
94,Om man ska hmm ja gå på krogen och dricka. Då finns det lite regler för er hmm ja.,12.04,858.76
95,Ja dom här musik han eller hon är musik som spelar musik där du måste hmm.,14.22,874.76
96,"Man kan bo i det här och det är ofta flera stycken som ligger tätt på alla sidor ihopbyggda, men det är separata bostäder. Hmm hus ligger i följd.",19.74,890.93
97,"Ja, det finns många till exempel i usa. Hmm, radhus.",6.95,913.26
98,Hmm.,1.77,923.81
99,"Jaha för att bärga politiker brukar man igår och hmm, jag har ju speciell här är det en viss fråga som måste eller till alla medborgare? Schweiz är känt för att göra ofta såna här frågor.",19.6,926.03
100,Ja.,0.75,946.3
101,Sånt det är vanligare det är ska vi göra ska vi ha kärnkraft och det skulle inte ha kärnkraft ska ha i juli har hmm folkomröstning.,13.03,948.53
102,"Hmm om man måste krossa en till barnen ström ja hmm med bilen då behöver man hmm, många tim infrastruktur vägar måste komma över en vik ölsund. Ja så du kan väl infrastruktur man använder för att gå ihop?",27.58,965.35
103,"Ja över strömmen, inte i vatten, hmm?",6.28,993.44
104,Ja.,0.44,999.87
105,"Du också konstruktioner? Ja, då pratar man om 7 stycken som var länder. Han hade gjort riktigt fina byggnader till polisen hon.",15.0,1006.53
106,Ja man bandet för att få tyget ja att skapa. Tidigare använde man det bra maskin. Ja.,9.59,1026.16
107,Enklaste varianten göra allting för hand som har gjort till motorvägen.,6.36,1036.76
108,"Jaha och just man ska få tråden att gå mellan olika trådar så att man ska göra tyg. Hmm symaskin nöjd är mamma hmm stor maskin. Det behövs inte vårt första val för att kunna göra tydligt som man sedan ska sy ihop. Hmm vävstol ja, det är hela tiden vi har.",28.04,1044.29
109,Spelande.,0.95,1073.88
110,Eller robotar marcus? Ja.,3.81,1079.25
111,Jo.,0.68,1085.36
112,Klippans imorgon får vi ska gå till kvinnor som känns det.,5.3,1088.65
