,DisplayText,Duration,Offset
0,Hmm vin till ha.,5.76,2.68
1,Annat så starkt var just islam i sverige hjälp från.,6.42,15.13
2,"Okej imorgon sätter igång så är det just dig. Vi ska world yes ja, men det här är första.",9.99,25.05
3,Hmm jul mig som har tur.,3.01,35.99
4,"Jonas videos mina kompisar i vår familj har vi frank express suites lindås det för tillfället, okej?",7.67,41.09
5,"Första va, okej?",5.5,52.91
6,Hmm.,1.5,61.05
7,Torpa.,0.51,64.23
8,"Hmm, vart kommer du ifrån?",3.0,66.73
9,Vad gör du och vart kommer det ifrån? Det jag kommer från en trevligt att träffas trevligt. Vi ska spela felet med andra ord. Vi måste beskriva dom. Jag försöker gissa till os handling.,18.96,72.31
10,Vissa det finns en så ni kan inte säga själva ordet eller varianter av ordet alla andra strategier för att beskriva ord är tillåtna.,10.61,95.76
11,20 minuter efter spelet får väl hela miljön. Redan nu kör vi.,5.46,108.41
12,Vi är en del av 1/4 som är del av en fågel ja. Det täcker kroppen att få göra.,8.99,120.68
13,De som helst fast fåglar.,1.74,131.28
14,Det är kan vara djupt. Det har en hårdhet som stam hela helgen. Ja.,7.82,135.88
15,"Ja, det är det.",1.26,145.92
16,"Hmm, man blir ett sånt affären, haha.",5.07,150.55
17,"Hmm, kan vara genomskinliga eller man som lakan.",3.58,157.35
18,De hmm rasmus kedjor.,2.44,162.88
19,Hmm.,1.58,166.51
20,Ja.,0.42,168.14
21,Att hmm.,2.12,171.35
22,Hmm.,1.7,174.98
23,Hmm.,1.42,178.53
24,Hmm. När du går i skolan eller så och skriva uppsats som kommer att sätta det här processen. Hmm omdömen ja.,10.23,183.2
25,Recension hmm.,2.58,196.27
26,När man sover. Hmm?,3.02,201.76
27,Ja hmm miljoner och så tänker man saker i sömnen.,4.38,205.4
28,Ja fast det här är en serie bilder just det senare. Oftast är det med färger och så finns det en kaka som heter samma sak. Hmm drömmar ja.,11.9,210.48
29,Elektrisk urladdning från molnen ja slå ner i marken.,4.64,226.18
30,"Wegman starkt, så handlar det här om månen. Hmm, ljus följt av oscar.",6.35,232.86
