,Duration,Offset,DisplayText
0,15.2,0.0,
1,7.52,20.95,"Javisst, men stark att vi för sig så får man vad det kostar lite."
2,0.59,32.84,Tänker ju.
3,1.5,43.82,Hmm.
4,2.09,45.37,"Hmm, jag inte orkar."
5,3.07,49.18,Vad heter du och var kommer du ifrån?
6,2.32,53.72,"Gustav, jag kommer helsingborg."
7,6.28,57.37,"Vad gör du? Det är vackert nu, från jag heter viktoria och jag kommer från tyskland."
8,1.27,64.67,Trevligt att träffas.
9,16.25,67.65,Vi ska spela spelet med andra ord. Ni måste beskriva dom och jag ska försöka gissa med varje visas på surfplattan med en liten bil. Vi har en minut på hela beskriva medan vi försöker att visa de finns en väg.
10,5.33,87.11,"Hmm, alla andra ska bry för att beskriva ord är tillåtna."
11,6.74,93.26,Vi ska spela cirka 20 minuter efter att spelet får väl hela min lön. Redan nu kör vi.
12,1.3,107.71,Man kan äta det.
13,1.42,110.93,Kom från quiz.
14,1.2,117.76,Hmm går ut.
15,3.32,120.4,"Men lite rosa, väl framme julen."
16,1.58,128.74,Hmm.
17,1.5,130.79,Hmm.
18,5.7,133.02,Ja det mesta man äter på julen och kommer från grisen. Jaha.
19,3.78,143.31,Man var på macken. Ja ja ja.
20,0.94,150.55,Det är korrekt.
21,2.13,156.31,Det är en jolle.
22,1.88,159.45,Ja den frågan.
23,7.17,162.61,Jaha och ganska aktiv i natten. Hmm ulla jo.
24,2.08,172.4,"Okej, du kan säga det själv."
25,5.6,177.2,"Hmm, finns i barnrum man? Hmm hmm färg."
26,1.48,184.47,Man ser sig själv vidare.
27,1.6,190.57,Nej usch.
28,6.19,194.41,"Titta, du kan göra inom vad du säger. Ja, kan du säga igen."
29,3.67,202.4,"Skriker, ja, det är korrekt jaha."
30,0.97,207.92,Hmm.
31,1.95,211.9,Jag tänker om halloween?
32,1.96,215.46,Hmm hmm.
33,6.94,221.12,Säljer sjätte sinnet och bruce willis. Hmm. Ja hmm.
34,6.51,228.49,Morgon man kan komma och morgon om det. Hmm.
35,1.6,235.05,Hmm.
36,0.58,237.86,Ja.
37,2.65,242.24,Man man hålla nere.
38,2.69,246.0,Ja hmm.
39,7.26,250.47,Sa man kan måla på väggen hmm ja jaha.
40,1.44,262.15,"Hmm, jag."
41,3.41,263.64,Tänka kan vi kontor i?
42,0.77,269.56,Nej.
43,16.87,274.32,Ja exakt men en annan sak ja lagar till bullar fall och hmm ja korrekt ja.
44,21.14,293.24,Det är ganska bekant i england och sverige in familjen från ja att arm ja hmm regent i ett land ha kungen skriv hmm kronan.
45,7.05,316.3,"Toria från byggen för då son brottning. Ja, jaha."
46,8.69,327.15,"Ganska många människor tänker lite him ja, hmm. Har dock."
47,5.59,337.96,Sa spinner nät ja hmm ja.
48,0.86,348.52,Ja.
49,5.44,351.84,"Finns på fåglar. Ja, vad kan flyga med det?"
50,2.54,359.06,Flyga med det? Ja.
51,14.13,363.07,"Man man skrev med för att få till en ja gammal med tiden skriva en del nej hmm, till exempel matindustri, vad den heter?"
52,0.7,378.95,Ja.
53,2.16,382.89,Flera ja ja.
54,1.53,392.29,O än.
55,1.5,394.99,Din kaka.
56,1.44,398.5,Hmm.
57,0.43,402.32,Se.
58,1.43,405.49,Hmm.
59,0.88,407.09,Ja.
60,1.55,410.89,Hmm drömmar.
61,2.61,415.02,Ja absolut ja.
62,1.62,419.43,Hmm.
63,8.79,422.34,"Manage och hämtar mig till sin fond ställen. Hmm, exakt jo ja."
64,4.01,433.18,Hmm om man vinna kommer att få stor plats på en sån.
65,1.5,440.79,Hmm.
66,18.12,442.86,Hmm med exakt och vilken glädje. Vilken typ av metall. Jaha om man kommer på första plats alltså påminna om hela telefonen viss medalj hmm guld men exakt precis jaha.
67,3.68,463.36,De fått in foten på skolan? Ja.
68,1.6,470.6,Hmm.
69,4.06,472.25,Jag har prov exempelvis. Hmm.
70,1.66,476.36,Hmm.
71,0.52,478.31,Ja.
72,1.48,483.62,Hmm.
73,11.95,485.18,"Samlingsnamn för exempelvis på mord. Ja, det är ett instrument typ av få i oss möjligt. Ja, hmm."
74,2.93,498.93,Hmm slår hmm ja.
75,18.05,508.11,Djurgården ja finns en finns i alperna alperna? Hmm och jag också in du ja hmm men också på kb vet inte hur man säger på svenska ja.
76,5.68,527.85,"Gå in till får, hmm. Sin bok jo precis."
77,1.48,536.99,Hmm.
78,11.2,539.46,Man kan plantera dom har dom i ha dom hemma i typ fönstret ja hmm typ som en blomma eller liknande.
79,3.07,551.42,Ja hmm.
80,1.56,555.99,Hmm.
81,16.18,558.38,Nästan fastän ett stöd av begrepp faller om du har den hemma i alltså typ i fönstret eller alltså i huset och precis ja.
82,2.3,576.12,Om hmm.
83,27.38,582.31,"I en demokrati har de flesta förhoppningsvis ja, ja, det här hmm. Människor är kämpar. Det är ganska mycket och föll jaha, ja, för att du har en politik person och andra politiker person och så, men man får bestämma vilken person vi är en regering."
84,3.3,609.86,Ja hmm röster jo jo.
85,0.67,614.65,
86,1.58,616.83,Hmm.
87,2.75,618.79,Syskonen min pappa.
88,1.08,623.89,Hmm.
89,2.84,628.93,Släkting? Hmm.
90,4.03,632.31,Kalle anka är pilknapparna hmm.
91,9.38,637.78,Hmm nya syster nej så hmm ja jaha.
92,6.92,651.61,Ja inte sopa för hälsan hälsan. Hmm.
93,6.62,659.44,"Till exempel, ja ganska bekant i amerikan. Hmm, snart."
94,1.44,666.35,Jo ja.
95,6.58,670.27,"Hmm, det finns på varje lägenhet eller huset och du kan ha kläderna innan."
96,3.66,678.81,Du går in i dom kommer nog. Ja.
97,13.3,685.41,"Men också att om du kommer in på en restaurang du hade ett jobb att göra i helgen och så ja, vad gäller ja precis."
98,2.38,702.19,Ja hmm.
99,12.42,705.29,Också hitta i serien om du titta på hmm hmm vatten hmm vill sen så håll.
100,2.71,719.48,"Förlåt, så bärs ja."
101,6.7,725.13,Hmm. När man dör så får man så här vid. Hmm.
102,1.6,731.88,Hmm nej men marie.
103,4.61,735.88,Periodic hmm ja så ja precis.
104,2.77,743.22,Det är symbolförklaring schweiz.
105,5.64,748.5,Och vid hmm leo på nordpolen.
106,7.58,756.1,Det var mot roland stort villor. Hmm björn ja jaha.
107,11.6,767.07,Is nu man kan ha in jaha hmm om man går i snö så får man såna här hmm fotboll ja ja.
108,9.4,781.2,Du måste om du vill komma på inte thai måste skriva det in för att ja se alla informationen.
109,5.64,791.66,Ja faktiskt här logga in i sandlådan. Hmm lös hund.
110,1.49,802.13,Hmm.
111,2.31,803.67,Åt hmm.
112,16.39,806.93,Jaha en del av livet att det tog verkligen tyck ja med ro springa hmm stan mest of ja ja ja ja.
113,3.44,825.0,Till exempel bondkatten? Ja.
114,4.16,830.97,Älskar mamma och barn får växa på. Ja.
115,3.94,838.18,Hmm ja jaha.
116,5.17,845.4,"Hmm, det finns en klocka är det hmm, finns."
117,4.54,850.62,Is i hmm gisslan dom också trott.
118,0.86,858.49,Vad som är god.
119,7.22,862.11,Finns i kristendomens han hmm kyrkobyn ja.
120,2.57,875.5,O hmm.
121,13.3,878.52,"Ligger en serie eller film, så kan den här spelas i början och slutet. Så var är du tänka spontan om det? Hmm, ja."
122,1.32,893.82,Hmm.
123,15.92,896.21,Ja hmm koll hmm en kommun hade till exempel hmm hmm precis utanför slottet. Hmm sade ja ja ja.
124,2.02,914.28,
125,10.76,916.85,Man kan man hmm är en plats med alla bolag till ja hmm oftast långt bort.
