,DisplayText,Duration,Offset
0,Vilket större.,1.47,0.27
1,Kul.,1.01,19.93
2,"Ski, så det är första steget.",3.71,25.16
3,Hmm.,1.51,37.03
4,"Hmm, jag inte orkar.",2.01,38.68
5,"Hej, vad heter du? Hej, jag är härifrån. Jag har framför allt tryck.",5.39,41.88
6,"Vad tycker du? Ja, du snart kommer ifrån sverige.",3.8,48.39
7,Trevligt att träffas.,1.35,53.29
8,"Vi ska spela spelet med andra ord. Vi måste beskriva i ord och jag ska försöka gissa pep. Varje visas på surfplattan med en liten. Vi har en minut på helt skrivandet, men vi försöker att visa det finns en egen. Ni kan inte säga själva ordet eller varianter av ordet.",20.69,56.25
9,10 anna vi ska spela cirka 20 minuter efter spelet. Får välja miljön redan nu kör vi.,8.39,80.23
10,Hej.,0.22,94.92
11,Hmm.,1.6,97.35
12,Använder när man ska odla nåt. Ja.,3.82,99.67
13,Vik eller en tavla?,1.52,105.07
14,Hmm.,1.6,109.13
15,"Det är jag på den. Hmm, händelse. Ja.",5.64,111.13
16,Om det.,0.53,118.24
17,Du kan också använda i skulle till exempel om vi konst hmm.,4.8,120.81
18,Ja precis.,1.26,130.57
19,Ja.,0.38,133.54
20,"Ja, man kan titta på sig själv med dom, haha.",5.56,136.93
21,"Hmm, det är en del av kroppen. Hmm, men fina hos fåglarna. Ja.",7.45,146.32
22,"Kan också skriva, hmm?",2.23,155.29
23,"Och finns i madrasser till exempel. Hmm, ja ta det.",4.7,159.1
24,Hmm gävle.,1.49,166.7
25,Ja ja.,1.69,168.96
26,"Okej, det är hmm, pia stycke. Du måste sätta på ett brev till exempel. Du vill gärna köra ut.",10.81,172.56
27,Man köper en butik. Hmm jaha.,7.86,185.67
28,"Den kvinnan som hmm är ja, vad säger man än en kvinna som har samma anlände funktion i samhället? Hmm ja, det kräver att det politiska systemet använder en monarki.",18.75,195.51
29,Ja.,0.89,216.14
30,Ja.,0.73,219.13
31,Frisyr ja kanske osynlig ibland.,3.62,221.4
32,Ja vi barns berättelser eller läskiga hus.,5.59,226.61
33,Hmm spöken.,1.44,233.27
34,Hmm.,0.96,239.06
35,"När man sover på natten så börjar man tänka på ett visst sätt eller eller om man har stora projekten livet? Hmm, ja.",10.92,241.47
36,Framtiden till exempel.,1.48,253.37
37,"Hmm, människor.",1.57,255.91
38,"Hej, det är vi pratar om ett system som just nu, men hmm. Det finns också ett väl hmm om hmm drömmar. Ja ja.",13.25,258.4
39,"Köp och en person som arbetar i köket, ja, till exempel bröd eller kanske ja.",10.59,273.51
40,Hmm hantverkare hmm badre bra.,4.98,287.77
41,"Ja, hmm, det är ett system som finns i skolan för att hmm placera i valpens ja sa man får efter. Man har skrivit ett prov till exempel. Hmm ja.",18.3,294.3
42,"Ja okej, det är ett köp är försök. Ja, som heter jaha.",9.16,314.43
43,"Från en gris? Ja, det finns olika typer av kak du rökt.",7.48,324.34
44,Vitrum.,1.37,333.62
45,Hmm skilja bra.,1.66,336.6
46,"Okej, det är, hmm, ett ställe där man kanske. Hmm piller cream hmm.",10.82,340.08
47,Ja.,0.56,353.55
48,"Det är ju dum i ett hus eller lägenhet. Ja, finns toalett där till exempel eller dusch.",8.96,356.69
49,Ja.,0.54,366.47
50,Ofta ett ställe där kvinnorna är jätte 8 eller jättebra. Hmm. Vad?,8.82,369.29
51,Ja.,0.83,379.75
52,"Hmm, okej, till en uppgift man får om man har funnits ofta inom idrott till hmm nej förstaplatsen exakt vi du med ja.",17.43,381.68
53,Ja visst metall.,1.46,400.88
54,Hmm guldmedalj.,1.58,403.22
55,Ja.,0.7,406.29
56,"Okej, det är ett väderfenomen i jaha när det är både varmt och kallt kan hända och saker kan börja brinna efteråt och som alltid har det när det finns dom. Hmm, regnar det mycket? Ja, det är alltså hur hmm.",21.81,408.94
57,Hmm det köpa en fågel hmm som är också en symbol för hmm ja.,8.61,435.28
58,Dom är hmm hmm beror fåglar.,4.42,446.09
59,Svenska som heter hmm morsan. Hmm ja.,4.34,453.66
60,"Hmm, det är ulla ja.",5.01,460.38
61,"Ja okej, det är en tjuga modeller, men ett jätte snabbt ofta. Idag är det också sen som man inte sitter. Hmm. Om man till exempel göra på restaurang, men vi ställer upp och betala direkt och hämta vatten. Hmm vem du är eller ojämna. Ja ja.",28.57,467.98
62,"Ja, det här gör man från ett träd, har en viss vätska som man släpper ut och det blir till en viss sak att det är hmm hur hon? Hmm stenar.",15.5,498.02
63,Barns lite.,1.11,515.21
64,"Ja, hmm, för att komma in på en dator till exempel och så skriver man in det.",5.28,521.5
65,"Ja, det kan vara ett 27 folk. Och ja.",4.12,527.62
66,Det är så långt jävla. Hmm. Lösenord.,4.92,534.71
67,"Okej, vi pratade tidigare om drömmar och det finns positiva drömmer men också negativa drömmer och hämta dom, haha.",10.36,543.09
68,Blir det en av dom till exempel?,2.13,556.38
69,Det finns också typiska motiv tilläggstjänster om hmm lumpur en röster springer ut för att angripa dig.,11.49,560.93
70,Om du följer dom långt ner. Hmm. Morgon.,5.11,574.15
71,Så när man blir förälder sen kan man bli föräldrar till ens föräldrars.,6.25,584.85
72,Hmm.,1.55,593.48
73,Ja.,0.5,596.18
74,Okej det?,1.2,598.89
75,"Hmm, the som kommer. Hmm, från ett god of war gold 20 hmm bra sätt eller samtidigt så finns det några tecken att jag har varit det hmm jaha det är snö till exempel.",19.03,600.55
76,"De tills det händer också för tjurarna, men spår och por.",7.66,623.79
