,Duration,Offset,DisplayText
0,15.2,0.0,
1,5.7,21.06,"Okej, faktiskt kommun i en kalkon."
2,1.53,40.04,Hmm.
3,2.01,41.75,"Hmm, jag inte orkar."
4,1.74,45.47,Hmm.
5,7.82,48.86,"Jag har fått lida frågan, vad heter du och kommer från? Ja, jag kommer från sverige."
6,14.67,60.81,Vi ska spela spelet med andra ord. Ni måste beskriva i ord och jag ska försöka gissa till varje visas på surfplattan med den veckan vi har en minut på skrivbordet medan jag försöker visa.
7,15.2,77.91,Ni kan inte säga själva ordet eller varianter av ordet alla andra strategier för att beskriva ordet är tillåtna. Vi ska spela cirka 20 minuter efter spelet får välja hela miljön. Redan nu kör vi.
8,0.47,98.29,Hmm.
9,4.1,100.66,"Hmm, liknande en kung fast kvinna."
10,1.5,110.71,Hmm.
11,9.08,112.64,"Dom har mark sitter ja, hon bjuder över landet. Hmm."
12,0.83,122.35,Ja.
13,5.69,129.29,"Hmm, vi kommer från mål under stormar."
14,0.56,136.04,Ja.
15,11.06,137.31,Sonehri marknaden oftast är hmm nej hmm oss kan hmm ja ja jaha.
16,2.8,150.84,"Hmm, vi vi kommer från fåglar."
17,1.81,155.14,Man kan dra dom.
18,1.48,158.3,Man är fria.
19,1.51,166.05,Hmm.
20,1.52,169.0,Många andetag där.
21,7.57,174.76,Juhlat ja de finns också i kuddar. Hmm?
22,1.8,182.7,Järn ja ja.
23,4.49,188.52,Man kan använda det här för att måla resan.
24,1.04,194.86,Eller byta den?
25,5.68,201.07,Om man vill måla någonting på en tavla eller rita på papper.
26,1.49,208.68,Hmm.
27,0.56,210.46,Ja.
28,8.42,216.81,Okej de? Hmm någon som bakar grejen jaha till trafiken.
29,0.27,227.27,Hej.
30,5.26,231.65,"Ja hmm, exempel någon som bakar pepparkakor eller bön?"
31,7.25,240.88,"Dyka ja det är som chef för hmm, ja."
32,5.5,252.66,"Hmm, något som är viktigt och läskig läskig."
33,8.37,260.01,"Ja, det är logiskt. Får kanske hmm där är ju död hmm?"
34,7.44,268.63,"Hmm, så det är något som inte finns egen men fick hoppa i skräckfilmer."
35,1.5,279.92,Hmm.
36,1.46,282.67,Hmm.
37,0.82,284.46,Ja.
38,1.68,288.46,Den typ av fågeln.
39,6.61,291.36,Om lyssnare katt. Det är aktiv under natten.
40,1.51,302.68,Hmm. What?
41,0.6,304.68,Ja.
42,4.8,309.83,Det är något som man sätter på post innan man ska posta den.
43,3.85,315.65,"Jaha, oftast uppe i högra hörnet."
44,6.34,324.79,"Enligt en papperslapp sammanträdesrum, polen, hmm frimärken, ja."
45,8.56,334.53,Det är någonting som hmm lever få i skonar det här med återkoppling från läraren. Ja.
46,4.85,344.7,Man använder det för att bedöma studenter. Hmm.
47,0.53,349.6,Ja.
48,6.8,354.29,"Hmm, det är något som säljer medicin. Och ja, ja."
49,17.44,366.32,"Jag satt på tik som har många. Det finns saker hmm hmm lär du. Det är en fysisk affär där dom säljer läkemedel. Ja, att göra."
50,5.47,387.47,Det är en typ av mat. Man brukar ha det på bröd och dess skillnad.
51,2.22,394.51,Hmm skicka ja.
52,1.2,401.85,Husdjur.
53,8.88,407.86,8 bilar än insight som brukar göra till dig läs här innan. Hmm.
54,6.88,418.79,Hmm fria lär hmm men det brukar äta haha.
55,6.26,429.62,"Hmm, det är ett rum som man oftast varuhus där man kan duscha."
56,0.4,438.43,Sånt?
57,2.38,446.85,Hmm eller bada.
58,2.29,451.42,Vanligt rum i hus.
59,0.7,455.35,Jaha.
60,5.82,458.81,"Toalett i den hmm dagen. Hmm, vad?"
61,7.88,468.72,"Hmm, det är djur som finns i väldigt kalla klimat. Ha en typ av björn."
62,3.27,482.03,"Oftast är friska pjäsen, ja."
63,2.92,489.01,Tiotalet i stort och vitt.
64,4.77,493.22,Brukar en ät fisk liksom. Hmm?
65,3.7,498.79,Hej större hmm.
66,0.65,503.94,Ja.
67,0.53,508.56,Hmm.
68,0.76,512.42,Okej.
69,3.67,515.11,Så det är.
70,1.59,520.71,Hmm.
71,4.18,523.7,Barbro farfar barns barn.
72,1.54,529.88,Jag tänkte jag skulle skriva.
73,0.47,533.85,Ja.
74,8.1,536.88,Hmm sökningar hmm hmm om ja.
75,7.75,550.06,"Hmm, det är mat som är oftast ohälsosam, fast det går snabbt att laga."
76,1.56,559.44,"Gör så här, för det är restaurangen."
77,1.5,562.88,Hmm.
78,1.56,564.92,Hmm.
79,2.67,566.87,Hmm snabbmat ja.
80,9.64,574.7,"Hmm, det är något som man får ha ungefärs igen efter man har blivit begravd. Ja."
81,5.29,586.94,Ofta sen hmm hmm gravsten ja.
82,3.18,598.57,"Den nånting, så kan du lämna i."
83,9.55,604.98,"Hmm, det är något avtryck som hände på granen promenera i hmm, så."
84,4.45,618.16,Nästan fast med fötter. Fotvård? Ja.
85,6.31,626.39,"Hmm, det är något som man har sina kläder. Ja."
86,2.67,633.95,Hmm en typ av hmm.
87,0.67,637.34,Ja.
88,0.62,639.88,Den.
89,3.67,641.9,Hmm hmm pro ja det bra.
90,4.04,653.26,Det är kul och slipning bra? Ja.
91,1.52,659.18,Hmm.
92,3.61,663.32,Syskonen så en.
93,2.58,667.83,Fars far.
94,1.51,671.97,Hmm.
95,1.6,674.08,Hmm.
96,0.82,677.07,Hmm.
97,7.14,681.47,Det är en slags dröm som man inte gillar för det är väldigt läskigt i ja.
98,1.49,691.95,Hmm.
99,3.51,694.83,
100,3.62,701.19,"Hmm, det är någonting som slår."
101,7.76,705.67,"Man använder datorn och hmm försöker logga in. Hmm, vad sa du?"
102,1.53,715.84,Hmm.
103,6.22,717.44,"Så man använder för att låsa upp eller kronisk gärna. Hmm, bra som hon gör."
104,0.51,727.18,Hmm.
105,10.55,730.52,"Okej hmm hmm ja, det är något sommaren slår. Det är oftast gjorda av träd."
106,5.2,742.11,Jaha hmm. Jag tror marknaden för musik.
107,4.83,751.03,"Den brukar och instrument som ja, inte på träd."
108,1.28,758.01,Hmm.
109,2.25,761.0,Hmm sova ja.
110,10.75,767.87,"Hmm, så det är små djur som man brukar ha hemma jaha typ som hund eller katt hmm."
111,6.33,780.19,Nej hmm kaniner alltså. Det är samma router slut jag.
112,1.57,790.93,Hmm så.
113,4.87,792.95,"Hmm rätten att få rösta, hmm?"
114,1.63,800.55,"Ja, det var jätte."
115,3.41,803.88,Hmm kanske hmm.
116,10.75,810.53,"Det är nånting som jaha funktionsnedsättande människor sitter i änden. Ja, fast det är jätte god."
117,1.3,823.47,Rörelser ja.
118,1.6,828.09,Hmm.
119,1.81,830.22,Rullstol ja.
120,0.54,836.13,Hmm.
121,0.81,839.57,Hmm.
122,7.68,841.14,Man åker till semester liksom vargen välja någon så vill man nog samma ja.
123,0.59,850.55,Hmm.
124,2.78,853.65,Resmålet hmm stor.
125,1.43,858.07,Hur ska boken?
126,12.16,864.6,"Hmm, okej, så det är en person som står på instrument när de står. Hmm."
127,0.67,877.21,Ja.
128,17.01,883.07,"Hmm, det här är ofta något som man sätter så att underåriga inte kan dricka alkohol eller köra bil. Hmm begränsning? Ja nästan hmm under seansen hmm underkänns."
129,4.99,905.88,"Ja, så det är den typ av musik som."
130,7.42,911.84,"Som ser ut att ha så att man känner igen dem väldigt nära. Hmm, signatur göm."
131,3.55,927.44,Stå inte och aktien man får.
132,6.08,932.16,"Ja varje politiker till liksom? Ja, genom det här touren."
133,1.51,939.89,Hmm.
134,1.57,942.27,Hmm.
135,3.23,944.08,
136,2.05,947.64,Omröstning och ja.
137,1.48,956.2,Hmm.
138,12.33,958.99,"Hmm, det här typ av berlin, den här typen av verktyg som man kan använda för att hmm ja göra si kläder tror jag."
139,1.59,972.44,Hmm.
140,0.53,974.26,Ja.
141,7.12,979.29,"Hmm, vi något som man använder för att korsa grejer till exempel."
142,0.71,987.85,Från.
143,1.63,990.18,Hmm.
144,4.18,993.06,"Hmm, det är ju en typ av brygga."
145,1.58,1002.12,Hmm.
146,1.93,1003.75,Hmm.
147,3.41,1006.11,"Jag har inte den typ av bro fast, hmm?"
148,5.15,1010.28,"Hmm, ja nej fast. Det finns också här kablar som."
149,2.1,1016.28,Hmm ja.
