,DisplayText,Duration,Offset
0,"Ja, så försökte vi lyssnar till jobbet ang så inte innehåller några kompisar och ting gör som du säger du har du tänker visby där hästen står där?",18.78,2.94
1,Apc hmm kan team vad vi säger så hej kenny.,6.95,24.18
2,Hmm.,0.5,35.44
3,"Wow diagnoser i sverige med sin hon ja. Diskmaskinen är alltid första. Ja, så vi går ut.",13.26,42.78
4,Således första ju.,4.31,61.83
5,Hej.,0.11,72.27
6,"Situation hmm, hej, jag heter inte orkar.",4.33,75.5
7,Vad heter du och var kommer du ifrån?,3.2,81.55
8,"Jag, hej, jag kommer från frank.",2.48,85.89
9,Vad heter du? Jag vet vart kommer vi ifrån? Jag vet inte. Jag kommer från sverige.,5.2,89.95
10,"Trevligt att träffas. Ja, vi ska spela spelet med andra och vi måste beskriva dom. Jag ska försöka att visa upp varje visas på surfplattan med en liten. Vi har en minut på hela beskrivande medan du försöker att visa. Det finns egentligen inte säga själva ordet eller varianter av ordet.",23.5,96.24
11,Öppna. Vi ska spela cirka 20 minuter efter spelet får du väl göra med den redan nu kör vi.,7.97,123.57
12,Man går dit för att kissa?,1.39,140.39
13,Jaha.,0.75,143.97
14,Jaha.,0.63,146.54
15,Man går dit för att duscha.,1.3,148.83
16,Jag kan sova där.,1.18,154.62
17,Ja hejsan hmm hmm ja det kan räcka sig.,8.38,157.24
18,Tvätta sig hmm. Badrummet.,3.72,170.65
19,O hmm jaha.,3.08,177.56
20,"Hmm om du ska ha måla en tavla så använder du det här redskapet. Jaha, du ska hålla vägen.",9.7,185.31
21,Ja.,0.81,196.82
22,Ändå ska polisen.,1.7,200.45
23,"Ja, hmm, det är en att fundus ja. Hmm.",8.07,207.86
24,"Det händer. Hmm, när det finns. Hmm, ja.",5.98,216.75
25,Hmm hmm.,3.34,224.09
26,Hej.,0.7,227.48
27,Ja ja.,1.69,229.67
28,Dom har 8 ben och spinnerbaits jaha.,4.75,235.6
29,Hmm flyga.,1.5,243.61
30,Hmm fel folk brukar vara rädda för dom. Jaha.,4.46,247.43
31,Och det är en styrka? Ja.,4.35,253.95
32,Ja.,0.69,261.58
33,"Hmm, det är en jobb, hmm?",4.68,263.81
34,Ja hmm.,1.52,269.51
35,Hmm.,1.51,272.28
36,Ja nej.,0.97,274.8
37,Köket.,0.5,277.76
38,Hmm bad.,1.48,282.86
39,Ja.,0.4,285.53
40,Ja.,0.57,288.06
41,"Man använder det för att hmm, vi får höra sig själv. Ja, vi fejka.",11.32,290.94
