,DisplayText,Duration,Offset
0,Christy inte första klass.,3.06,1.26
1,"Perfekt, så vi syns har swish ryska ja hej, det här var hej kul.",7.13,25.95
2,Hmm.,1.5,37.35
3,Jag har inte orkat.,1.24,39.8
4,Vad heter du och var kommer du ifrån?,3.14,42.75
5,Vad gör du och vart kommer det ifrån?,3.13,52.08
6,Trevligt att träffas.,1.35,59.5
7,Vi ska spela spel med andra ord. Vi måste beskriva med ord och jag ska försöka gissa att det varje år visas på surfplattan med en liten bil. Vi har en minut på dig att skriva om det medan vi försöker inte visa. Det finns en hel vecka. Ni kan inte säga själva ordet eller varianter av ordet.,20.5,62.5
8,Tillåtna. Vi ska spela cirka 20 minuter efter spelet får välja om den redan nu kör vi.,8.23,86.53
9,"Hmm, det är nånting som man vill hålla här det första plats upp ja.",6.86,103.06
10,"Hmm, är något man kan göra i halsen och har man vunnit första pris så är ni guld.",6.49,111.86
11,Hmm medan.,1.39,119.43
12,Hmm.,1.57,122.49
13,Ja.,0.58,125.09
14,"Den man som bakar bröd. Ja det är möjligt. Hmm, ja.",9.27,127.74
15,"Hmm, det är nånstans du kan gå för att handla medicin. Ja.",4.22,139.28
16,Bland annat.,0.68,145.54
17,"Ja hmm, man gå dit. Det är någon som jobbar där som hjälper den och man kan handla läkemedel eller hämta ut saker på recept.",10.07,148.81
18,Hmm nätet.,1.59,160.22
19,Nej ja hmm läkare hmm apotek.,5.71,162.24
20,Ja ja.,2.58,168.42
21,Hmm tjena tina börsen idag.,4.62,172.34
22,"Hmm, man går också på toa där.",2.51,180.22
23,"Vi finns i hemmet hmm usch. Hmm, det är barndom bra.",7.44,186.31
24,Hmm om du går i skolan så hmm och har gjort ett prov ja så blir man bedömd på det och då får man det här.,10.2,196.29
25,"Hmm omdömen hmm, annat ord för omdöme jaha bokstäver som man får ja.",10.41,207.48
26,Man får en bokstav och det bästa man kan få det första chans.,5.02,219.18
27,Hmm.,1.42,226.52
28,Ja.,0.81,228.37
29,Det här är ett ljuvligt litet djur som spinner nät.,3.86,231.54
30,Ja.,0.59,236.57
31,"Många är rätt för dig och det har turbinerna. Hmm, flyga hur du kan inte flyga. Jag har pengar ja då åker bil och dom kan vara giftiga jaha.",15.14,240.7
32,Många är som sagt rädda för dom som är små syn ja.,4.85,258.49
33,Ja.,0.73,265.25
34,När du använder målarfärg på väggarna så använder ett verktyg.,5.18,268.22
35,Hmm.,1.48,278.53
36,Om man ska måla en vägg hemma så behöver man en färgburk och så har man ett verktyg för att kunna måla väggen.,5.82,280.06
37,"Ja, hmm, det här är nånting, hmm som inte finns på riktigt. Men så många barn är rädda för som kan finnas i skräckhistorier. Ja man kan hmm ja.",16.95,288.01
38,Hmm.,0.76,309.22
39,Det är ljus dygnet när det regnar och hmm.,7.63,311.76
40,"Om det åskar, så kan du komma en sån här. Hmm nej, nej, det är som en ljus. Hmm, ja.",11.82,320.46
41,Hur dom är himla oscar och sen är.,2.44,334.54
42,Ja hmm hmm du kan slå ner det kan slå ner i backen eller i trä och albin ens ja ja hmm.,10.38,340.17
43,"Hmm, du behöver för att skicka ett dig.",2.66,353.14
