,DisplayText,Duration,Offset
0,"Första i sverige. Vi kan inte se hur illa och 10 år okej, kanske allra första joelsson för barn som går okej?",14.4,10.16
1,"Sverige känslor finns ju där. Figurerna jag hittar man saker kan gå på tur och ja, lite runt 10 kg. Bilistens har blivit ekonomiska situation så okej okej? Hejdå till morfar.",20.46,26.47
2,"Visa att svenskan det gott hej jag inte orkar hej, har du och var kommer du ifrån? Jag vill inte och jag kommer ifrån usa, sverige.",13.24,54.25
3,"Vad är du från? Hmm? Som sagt, jag är kajsa och jag kommer från juli där utanför stockholm.",7.24,68.45
4,Trevligt att träffas.,1.23,76.62
5,Vi ska spela firandet med andra ord. Vi måste beskriva i ord och jag ska försöka gissa till vad visas på surfplattan med en liten bil. Vi har en minut på er att skriva ordet medan vi försöker att visa. Det finns en regel. Ni kan inte säga själva ordet eller varianter av andra betyder för att beskriva ordentligt.,24.1,79.6
6,Vi ska spela cirka 20 minuter efter spelet. Får väl göra bilen redo nu kör vi.,6.7,105.18
7,"Absolut besök IS å hmm, det här kan vara vårat hus ned precis målarfärg på väggarna med det här verktyget. Ja, hmm är.",13.25,115.42
8,"Okej, du kan ha. Det är så hårstrån väljs ut. Hmm penselns fly ja.",8.76,130.84
9,"Hmm, det är en liten insekt som många är rädda för. Hmm, det är lugna hmm deras spel och du har 8 ben och hitta din 6.",13.49,141.4
10,Ja i sverige har en fin ja.,4.87,155.97
11,"Hmm, det är en. Det finns i alla hus. Ja, det är avdelning i ljuset som vi har ett badkar i. Hmm badrummet.",11.79,162.86
12,Hans hmm en specifik art och sort ja hmm.,8.95,178.93
13,"Ja och så anspelar på någonting annat som sker natten. Hmm, sover här. Vad sa du?",8.05,188.55
14,Repetera vad du sa?,1.12,198.6
15,Ja precis.,1.7,201.12
16,"Ja, det här är hmm. Samma som huden på en fågel har man säga precis. Det är mjukt som sticker ut på att få ja väl också stoppa kuddar med mamma.",17.08,205.04
17,Påfåglar har väl ett speciella varianter av den här saken som sticker ut där bak?,5.24,225.3
18,Färgglad kan vara.,1.19,231.64
19,,2.84,233.85
20,Det här har vi kan äta på julen som gjort hmm av polis.,4.95,238.97
21,"Hmm, vi kommer från iis och det är kött. Hmm en specifik kött del som du äter på julen som är väldigt klassisk. Ja.",13.12,245.57
22,Hmm nya ja.,2.58,261.81
23,Det här är nånting läskigt som man kan om du fira halloween så kan det vara utklädd till det här läskiga ja för ofta och pannbandet vi tillbaka. Då var det över hela kroppen så låtsas som att det här riskerar hmm så kan ja.,20.29,267.53
24,"Det här är en fågel som är väldigt nattaktiv och som finns i olika sorter. Jaha, väldigt stora ögon och kände att vara kloka. Hmm. Fåglar är inte specifikt fågelart är det inte den angrep undvika lite av ja undergrupp inom fåglar.",22.91,291.09
25,Hmm.,1.58,315.0
26,"Hmm, ett naturfenomen som sker när det är oväder så det sprakar till hmm enligt vitet? Ja väldigt möjligt som blir ett ljussken hmm.",15.88,319.41
