,Duration,Offset,DisplayText
0,15.2,0.0,
1,1.64,25.26,"Okej, det är släpptidag."
2,1.95,30.48,Går du i?
3,1.49,37.84,Hmm.
4,2.13,39.38,"Hmm, jag inte orkar."
5,12.96,43.26,Vad gör du och dina? Vart kommer du ifrån från sig själv och vad är du och vart kommer du ifrån? Du kommer från väg in trevligt att träffas.
6,20.52,57.95,"Vi ska spela spelet med andra ord. Ni måste beskriva i ord och jag försöker till varje ord visas på surfplattan med en liten bil. Vi har en minut på sig att skriva ordet medan de försöker att resa. Det finns en regel, ni kan inte säga själva ordet eller varianter av ordet."
7,8.27,81.99,Tillåtna. Vi ska spela cirka 20 minuter efter spelet får välja hela tiden. Redan nu kör vi.
8,1.72,96.89,"Hmm, hon är gift med kungen?"
9,1.23,103.94,Hon är en kvinna.
10,7.3,107.34,"Det är, hmm, hon är ledningen II kungahuset. Ja."
11,1.49,118.31,Hmm.
12,1.66,120.91,Finns mamma.
13,1.5,127.3,Hmm prinsessa.
14,2.21,128.85,Ja hmm.
15,0.47,132.53,Ja nej.
16,0.3,135.3,Hej.
17,0.66,138.44,Hmm.
18,13.38,141.13,"Först kommer och oscar sen kommer hmm hmm nej det andra när det är mörka moln, det är gula."
19,1.75,155.74,Hmm ja.
20,4.56,162.86,Själva kan man ha det här som pålägg ja.
21,5.54,169.76,Vegetarisk stycken uttalande hmm skicka ja.
22,3.52,178.54,"Hmm, det här finns på fåglar? Ja."
23,5.07,187.72,"Inte pengar, utan det är mjuk."
24,6.98,195.37,Hmm nej man kan ja ja ja.
25,5.11,205.65,"Hmm, det här är ett kryp som. Hmm."
26,3.69,212.2,Samröre hmm syndare.
27,0.5,222.18,Hmm.
28,1.49,226.96,Hmm.
29,4.93,228.96,"Inte en kock, men han jobbar i köket. Jaha."
30,3.38,237.4,Hmm hantverkare. Hmm dagar.
31,1.27,241.09,"Ja, vad är det?"
32,2.09,246.15,Hmm om du ska skicka brev.
33,0.4,251.42,Där.
34,4.76,253.82,Ska köpa något för att kika blev? Ja.
35,1.65,262.4,Hmm från.
36,2.75,265.4,Hmm frimärken ja.
