,DisplayText,Duration,Offset
0,Jo.,0.4,0.02
1,Kit.,0.36,2.04
2,"Mars började hmm 9 försökte bara vill fortsätta. Ja, det är vi.",9.94,5.49
3,"Hmm, första bil säger, man vill ju va som du har med. Här sitter jag och johan till första troligt ja och det såg ju on sätt hmm god kommunikation 6.",18.4,19.13
4,,2.18,39.51
5,"Such as you start i hmm hej, hej, jag heter inte ada. Hej, jag heter sy varm.",8.08,43.14
6,Jag kommer från usa och vad heter du och var kommer du ifrån?,7.2,54.23
7,Jag heter sigvard och jag kommer från sverige.,2.96,63.31
8,Träffas.,0.61,68.84
9,Samma vi ska spela spelet med andra. Vi måste beskriva dom. Jag ska försöka gissa till varje pris på surfplatta med en liten bil. Vi har en minut på hur beskriva jobbet medan jag försöker att vissa det finns inte mycket. Vi kan inte säga själva ordet eller varianten av ordet.,21.6,70.25
10,"Till och vi ska spela cirka 20 minuter efter spelet. Får väl hänga med en del, nu kör vi.",8.33,95.17
11,"Okej, måste det här är ju tur kan vi prata samtidigt?",5.16,106.24
12,"Okej, jag tror vi prata en i taget, men nu då det börjar, okej?",6.97,114.63
13,Någon gång människa som är död?,3.96,123.69
14,Enander.,1.47,129.56
15,Den ande som går igen. Hmm navan.,3.97,133.53
16,Ja ett bra exempel? Hmm?,3.79,139.65
17,Ja då tar vi nästa steg. Nej.,3.89,144.37
18,Hmm.,0.47,149.77
19,"Ja okej, det kan vi gå vidare? Nej, men va. Nu förstår jag hur buketten.",8.93,152.25
20,"Okej, någonting som är runt om man ja, har runt halsen. Hmm.",8.58,166.61
21,Ja vilken sort hmm.,3.28,176.18
22,Ja hmm god man har rätt.,3.53,180.41
23,Någonting som kommer från en fågel?,2.68,187.78
24,Ja.,0.35,191.41
25,"En liten del av fågelns skal, hmm. Jäder.",5.46,193.56
26,"Ja, det är det.",1.46,199.47
27,Nån som lagar vred och bullar och uppgick till strax in.,9.25,206.65
28,"Hej, det är på gång.",1.29,217.47
29,Ja.,0.78,220.02
30,"Okej, någon som var där bröd och bullar och sådär. Hmm, det.",8.37,222.1
31,Första.,0.63,235.1
32,Nånstans där man kan tvätta sig?,2.83,241.12
33,Ja.,0.56,245.12
34,"Det kan gå i en lägenhet, ett rum där man tvättar sig.",4.31,248.22
35,"Hmm barnen ja, det är bra, hmm.",6.2,256.81
36,"Du hade rätt första barn första gången. Hmm, badrum ja.",6.05,264.66
37,Ja lite kött från en gris? Ja.,4.0,274.86
38,"Hmm, många i sverige äter det här till jul? Hmm.",9.16,280.58
39,"Jag tror inte det kommer nästa ord, det här är nånting man kan sätta på ett brev när man vill skicka det, hmm.",9.84,292.95
40,"Ja, det är det.",1.11,302.84
41,Här hämtar man recept jaha sa hmm lite miner.,9.5,307.4
42,Hmm apotek ja ja det är rätt.,3.48,317.84
43,"Ja, när man sover så kan man uppleva det här i land.",4.5,326.57
44,"Hmm, människor.",1.61,332.21
45,"Nej, det blir nånting som man upplever inuti sig själv.",4.9,334.65
46,Ja.,0.72,340.6
47,"Det händer där man drömma. Ja, visst.",3.41,344.35
48,Hmm.,0.48,352.91
49,"Jo, det här är nånting man kan hänga på väggen och tittar på sig själv i hmm.",7.17,357.43
50,"Nej, det är gör har glas. Hmm nej, man ser sig själv i.",9.25,365.43
51,På bil hmm ja ja ja helt rätt.,4.81,377.31
52,Ja.,0.84,382.79
53,Hej kör du.,1.01,385.91
54,Det här är någonting som man kan måla med.,2.4,390.57
55,"Det verktyg, ett redskap som man kan måla med. Ja.",5.39,397.66
56,Kan du gissa vad det är?,1.56,404.75
57,Sitter ett anslag. Hmm bosch ja.,5.56,407.85
58,"Hmm, ja hon hon är.",5.22,419.35
59,"Ja, jag vet inte hur man ser utan att säga att hon är vacker med kungen, men det är inte bästa, hmm.",10.19,426.62
60,Hon är maka till kungen? Ja.,3.38,438.2
61,Under kungens hustru.,1.8,443.43
62,"Hmm hmm. Ja, det är rätt, papper.",4.89,448.98
63,Ja jag hem 2 guld och den hmm?,6.49,457.4
64,Hur kan röra sitt huvud väldigt mycket.,3.29,463.94
65,"Den hår? Hmm, det är ett.",5.72,468.78
66,Okej.,0.68,478.93
67,Till kanske kan.,1.76,481.75
68,Prova ja du hmm.,2.83,486.13
69,Man får rösta.,2.31,490.07
70,Hmm.,1.6,492.91
71,Ja nej nej man man får gjorde man får har man sitt val ja.,8.1,494.9
72,"Hmm, därför att alla har möjlighet att använda detta.",5.55,504.6
73,Så kan man göra demokratiska val.,3.95,510.97
74,Det har med demokrati att göra det.,3.19,519.55
75,"Jag tror du sa det sa det loss. Ja, det är det bra.",4.88,524.54
76,Ja.,0.32,534.66
77,För mig.,0.61,537.24
78,Men.,0.53,539.0
79,"Ja, det var väl perkussion att göra? Ja, det är instrument till ett eller flera instrument.",8.48,541.09
80,Ja ett eller flera musikinstrument.,3.18,550.33
81,"Hmm, ja kilo hon är ett av många. Hmm, slå där precis.",8.36,554.31
82,Hmm.,0.48,565.16
83,Det är en.,1.01,567.23
84,"Markerad, hmm, platsen när man var? Hmm, man ligger när man dör.",8.97,569.97
85,"Vi på jobbet den ligger på jobbet. Hmm sten, ja, det är slaggsten vilken när en del människor ligger där. Hmm, ja, det är helt rätt.",16.8,581.43
86,,0.32,599.8
87,"Ja ha, det här är ett ord som jag behöver när jag ska logga in på en dator eller ett ord som jag behöver när jag ska logga in på en telefon. Jaha, det blir väl nyckel hmm mötena helt rätt.",20.24,600.43
