,DisplayText,Duration,Offset
0,,2.2,18.34
1,Jättegott.,1.07,20.99
2,Frisk.,0.55,34.48
3,Person.,0.73,39.81
4,Skriv okej projekt så starka mot sitt slut har upptäckt.,6.4,46.1
5,Hmm.,1.51,56.75
6,Jag inte orkar.,1.23,59.19
7,"Vad heter du och var kommer du ifrån? Hej, hej erik och jag kommer från min tjänsten.",7.4,62.16
8,Såhär.,0.71,70.18
9,Vad är du alltid? Vart kommer du ifrån? Jag heter anna kommer ryssland.,6.93,71.86
10,Trevligt att träffas.,1.32,79.79
11,Vi ska spela så är det med andra ord. Vi måste beskriva dom. Jag ska försöka precis allting. Varje visas på surfplattan med en liten. Vi har en minut på hela beskriva ordet medan vi försöker att visa. Det finns en hel vecka. Ni kan inte säga själva ordet eller varianter av ordet.,20.92,82.81
12,Vi ska spela till cirka 20 minuter efter spelet. Får välja hela miljön redo nu kör vi.,6.68,108.4
13,Hmm.,1.52,123.85
14,"Å när du sover, tänker man nog?",2.88,125.9
15,Och så.,0.81,130.55
16,Det är också en typ av kaffe bra fikabröd som människor när du går någon som människor gör när hon sover. Då har de hmm citronkaka.,15.0,135.22
17,Jaha så va hmm drömmar.,3.51,154.14
18,Hmm hmm.,2.58,157.7
19,Ja.,0.47,164.39
20,Okej.,1.01,170.63
21,"När du vinner en tävling, så kanske du får en.",3.54,173.69
22,"Ni kommer på första plats, så vore ett pris på det kan vara en hmm metall ja hmm guld ja.",11.31,178.5
23,Ja.,0.7,192.14
24,Okej man dig ja.,3.93,196.31
25,Ja men gör det.,2.05,204.08
26,"Ja när man inte använder pennor, ja, så kan man använda en.",4.64,207.21
27,Måla.,0.51,214.53
28,,2.48,217.14
29,Ja.,0.66,227.37
30,Ja.,0.44,232.44
31,Hmm är en typ av fågeln ja som anses volvo l vis kanske ja stora ögon hmm fåglar ja typ av formen.,14.34,234.2
32,Karlskoga hmm uggla ja.,2.76,252.57
33,Ja ett djur med 8 ben ja hej sagt.,6.17,267.18
34,Hmm. Synd att jävlas.,2.69,276.52
35,Jaha och.,1.83,280.79
36,Casper var en.,1.79,284.54
37,Hmm ja LS tyson var kanske rädda för ja kasper var så fin.,9.32,287.84
38,"Nästan som en ande, fast lite annorlunda, ibland klär sig folk i la kan väl bara säga vad sa du? Hmm spöken.",12.69,300.16
39,Ja.,0.56,315.42
40,Ja.,0.58,320.64
41,"Hmm, så när huvudmannen vi ser golvar i hmm ja t co.",7.07,325.41
42,"Hmm. När det åskar så hör man ett under högt ljud, men innan dess ser man en hmm regn kanske.",12.2,337.3
43,Hmm urladdning vad sa du?,3.08,352.97
44,Oscar hmm.,2.3,359.32
45,Ja ja ja lite.,2.01,361.88
46,Ja.,0.61,365.52
47,"Går i skolan, så får du det här för att som visar det bra med på någonting kanske jättebra på svenska går väldigt högt som han är bra på engelska från trycket den här och då vill man kanske får ett väldigt lågt som hört skolan. Hmm.",18.4,379.06
48,"Hej, det här är första dusch sig och gå in. Ja.",6.71,411.4
49,Hmm dag.,1.57,421.71
50,Ja hmm.,2.8,424.31
51,Hmm undrar om man äter den typ av kött som kommer från grisar oftast som är runt delen omges. Hmm sjuka.,10.28,431.72
52,"Man skriver, brev behövs maj, men ja.",4.7,452.9
53,"Hmm, för att kunna skicka det så måste du klistra på en sådan får du problem.",5.89,460.09
54,Hmm från.,1.35,470.76
55,"Kan vara bra att skriva för hand här, men det är som en betalning. Hmm är nämligen det som är litet men viss finare.",12.4,473.6
56,Hmm sport ja inom friidrott. Ja här u springer mot ett hinder som du ser han skuttar av hmm hej då.,15.08,495.05
57,Första.,1.21,516.88
