,DisplayText,Duration,Offset
0,Fick ju gå in.,1.6,1.97
1,Den.,0.22,8.06
2,Hmm.,1.09,17.11
3,Första året som vi skulle kunna träffas så blir det kul.,6.0,21.25
4,Hmm.,1.5,33.08
5,Jag inte orkar.,1.26,35.53
6,Vad heter du och var kom ut från?,3.22,38.48
7,"Hej, jag heter frida. Jag kommer från stockholm.",3.61,43.12
8,Vad heter du och var kommer du ifrån? Jag kallas den kommer fram stjärnor.,6.02,47.78
9,Trevligt att träffas.,1.33,54.96
10,"Vi ska spela spel med andra ord, ni måste beskriva i ord. Jag försöker till varje pris alls på surfplattan med en liten bil. Vi har en ny på jobbet, skriva om det medan vi försöker att visa det finns egentligen. Ni kan inte säga själva ordet eller varianter av ordet.",20.7,57.93
11,Vi ska spela cirka 20 minuter efter spelet får väl ge den tiden. Redan nu kör vi.,6.72,83.52
12,Hmm.,1.49,96.65
13,Ledare för ett land.,1.51,99.35
14,Monarki.,0.81,102.89
15,"Hmm, jag tänker rejält i storbritannien. Jaha.",4.85,105.2
16,Väldigt gammal hmm.,2.96,112.2
17,"Använder den bland. Hmm finns nej, men det är kvinnan. Hmm, lottning. Ja, ja, ska vi ha.",12.39,116.9
18,Hmm.,0.94,132.9
19,Nånting läskigt som ofta är vitt och skräms.,5.41,134.64
20,Också en banan gillar din tröja.,1.88,142.7
21,Jaha.,0.59,145.58
22,Hmm.,1.54,149.1
23,Hmm sverige ja.,2.37,152.02
24,"Hmm, det här. Hmm, en slags valuta för att skicka brev, hmm. Från, men vad sa du?",10.62,157.21
25,De använda sin den här landet. Hmm hmm frimärke.,7.09,169.93
26,Ja.,0.46,177.47
27,Hmm.,1.49,180.6
28,Det kan man använda för att hmm.,3.47,183.19
29,Ja gör en rut mona morgonbild ja.,4.86,187.21
30,"Hmm, den är mjuk och man drag hmm. Men över en duk eller papper? Hmm ensam.",9.65,193.78
31,Ja man är sjuk. Då går man till en plats för att köpa medicin. Hmm hmm. Mer specifikt för läkemedel ja.,14.91,208.39
32,Hmm köper man lägger mötet.,1.88,226.41
33,Bara säljer medicin och läkemedel? Ja.,3.92,233.15
34,Vad heter affären som säljer medicin? Han leker med dem.,4.37,240.28
35,Okej.,0.51,246.91
36,"Hmm. Ibland upp till molnen så bildas stora laddningar av energi. Och ja, det va.",10.35,250.52
37,Ja.,0.78,263.32
38,"Hmm, det är tar man från djur faktiskt. Ja, hmm vingarna på en fågel.",7.94,266.73
39,"Ja och så sen man kan använda det. Ja, till exempel för att skriva han väntat ett förut. Hmm göten? Ja.",12.43,276.43
40,Ja.,0.79,290.52
41,Ganska stor fågel rovfågel hmm som har stora ögon och kan vrida nacken väldigt mycket. Hmm undra 180 grader hmm fåglar hmm upplagd ja ja.,19.06,293.55
42,Hmm.,1.49,315.21
43,"När du skriver en extern efterföljande period. Ja, vad heter det?",8.56,316.93
44,"Hmm omdömen jaha, är det mer specifikt om det är på en viss kurs eller en viss prov? Hmm.",10.69,328.23
45,Ja.,0.58,341.97
46,Hmm en söt kaka med bland hjorthornssalt i spanska frasig.,8.61,344.09
47,"Hmm fin kåken hmm nej hmm så att den här den är bara söt. Den har inte någon specifik frukt eller senare? Hmm, den har namnet av någonting som man kan göra när man sover. Hmm drömmar ja.",19.92,357.2
48,Ja han som gre det gör man fram kött hmm från gruppen djuret är en gris rumpa ja meter.,12.03,380.53
49,Hmm mer specifikt just rumpan på grisen hmm.,8.88,395.24
50,Ja ja.,1.15,404.59
51,"Hmm, när man har kommit först, man har vunnit. Man får stå högst upp på podiet. Hmm ja då och då för man ett pris hmm, men jag ska fixa det här är det bästa hmm godmorgon ja.",17.59,409.15
52,Hmm.,1.5,430.06
53,Ja någon som gör bakverk och bröd i ett kök gått upp väldigt tidigt på morgonen. Hmm hantverkare. Det kan man lägga fika och bröd.,16.36,431.61
54,Hmm badrum ja precis ja.,3.59,448.84
55,Hmm 1 8.,2.49,453.98
56,Enad ja arachnid.,3.36,456.93
57,Hmm ja ja.,3.82,461.99
58,"Ja, hmm. När man har dött och hmm. En anhöriga vill ha en minnesplats före så får man en viss moment.",13.51,468.06
59,Kyrkogård hmm tavlan. Hmm.,5.58,483.04
60,Ja.,0.92,490.05
61,Hmm.,1.69,492.68
62,Hmm hmm hmm.,3.34,496.7
63,"Vi ibland får kan han i stället av warmer femman. Ja, människor vill ha mindre varelser att ta hand om och umgås med hmm som inte är barn eller människor när folk använder levande hamn. Hmm husdjur.",23.0,501.37
64,Ja.,0.42,525.98
65,"Hmm, ett gammalt material tillverkat av kåda hmm stenar en specifik sådan som är gjord av kåda som har legat och blivit ihop pressad under en väldigt lång tid.",15.79,529.02
66,Ja.,0.81,545.74
67,"Elvis gyllenbrun färg, hmm. Bärnsten.",5.87,549.4
68,Hmm där.,1.75,559.62
69,Hmm ja.,1.49,562.22
70,"Borg, kallt land.",2.42,565.65
71,Hmm.,1.59,568.99
72,Ja.,0.56,573.89
73,Hmm en.,1.39,576.23
74,"Levande varelse som får energi genom solen och klor. Film, hmm. Västern ja, en liten sådan som är i en behållare som jag kan ha hemma hmm plats.",16.35,579.15
75,Hmm.,0.5,599.59
76,"Det äter man ibland, så det var inte så mycket tid.",3.88,601.34
77,De är ofta ganska billigt och hmm inte så jätte nyttigt. Inte så bra för mat hmm.,9.65,606.72
78,Hmm hej slags instrument hmm som hmm får ljud på sig hmm vi genom hmm.,14.09,619.68
79,"Symphony, ett slags sådant hmm, men det finns många olika. Hmm, exempel, trummor är exempel på vad som är en gruppen så.",12.1,636.28
80,Hmm.,1.9,651.14
81,Nämligen.,0.77,656.03
82,Hmm jo hmm ja det är som man använder för att hålla sin telefon eller mejl säker från andra ja så mycket kvälls men ja.,15.46,658.75
83,Nån till bara att du vet?,1.78,675.56
84,Hmm lösenord ja.,2.93,678.12
85,"Det här är en stor slags liv, ja, som har ordentlig auktion.",6.38,686.42
86,Hmm får.,1.49,694.16
87,"Nej ännu större gång och det här är den manliga varianten får den, hmm.",8.66,696.65
88,En specifik sådan hmm stenbock precis.,5.06,706.31
89,Hmm hmm en mormor har. Hmm dom.,6.41,714.55
90,Dom är små.,1.02,722.38
91,Hmm barn.,1.55,724.47
92,Har man gillar sina bilen eller fötter och inte kan gå så kan man sätta sig i en sån här och ta sig fram ändå. Hmm fiktion. Hmm rullstol.,13.98,730.63
93,Ja.,0.62,744.67
94,Hmm.,1.73,749.15
95,Den högsta delen av en gammal religiös byggnad. Hmm. Symtom.,6.84,750.93
96,"Man har hemma jaha, anländer för att ha kläder där. Ja.",7.86,761.65
97,"Hmm, säng. Det är ett slags skåp, hmm?",6.19,773.46
98,Ja.,0.56,781.12
99,"Hmm, för kvinnor kom det här i sverige på början av nittonhundratalet. Ja, då handlar det om demokratin att.",9.62,785.01
100,Ska kunna säga.,1.11,795.77
101,Hmm rösta rätt.,1.33,798.9
102,Hmm.,1.5,806.1
103,Ibland kan man vakna upp på natten och känna sig alldeles skrämd för att man har haft en hmm.,7.53,808.06
104,"Man sover, vi kommer runt. Hmm, det är inte maten.",4.66,819.15
105,Ja.,0.78,826.21
106,"Hmm, det finns 7 sådana här i världen hmm och det är ofta gamla skansen. Vad sa du ja?",12.24,830.99
107,Gamla stora skapelser som har stått kvar länge och ta bilder.,7.86,844.91
108,"Hmm, det här är något som använder ett slagverk. Ja, man kan inte säga nej. Ja.",9.18,860.58
109,Ofta i en parad för att hålla takten. Hmm musiker det specifikt mötet som ganska bra men takten hmm.,12.53,871.86
110,Men.,0.47,885.62
111,Ja.,0.49,887.72
112,Hmm.,1.5,890.58
113,"Om regeringen undrar vad populationen undrar, så kan de starta igång så här för att få hmm veta vad folk tycker. Hmm, folkomröstning hmm.",15.96,892.85
114,Ja.,0.67,910.51
115,"Hmm, det här är dom i kroppen som levererar syre. Ja.",7.6,914.27
116,Skolan hmm musslorna det är som det är det lustig mediehus hmm är en del av kroppen. Det är ganska små del. Hmm dig ja.,18.05,924.82
117,Hmm.,1.04,945.24
118,"Det här är ett väldigt stort verktyg för att ta sig över. Hmm, en grund eller någonting. Hmm.",10.25,947.93
119,Och den specifika personen som här? Hmm?,5.37,958.4
120,Ja ja bra.,1.96,964.64
121,"Nej många tv serier har i början hmm ett sätt som låter på som alltid likadant och det är specifikt för den serien, ja.",11.56,973.05
122,Musikaliskt rör ut.,1.9,988.88
123,Hmm.,1.58,992.14
124,"Ja hmm vissa filmer kan också ha en sån men det är nånting som hmm ofta kom återkommer och tillhör en viss serie eller hmm liknande hmm signaturen? Ja, det är hela tiden.",20.24,994.57
125,Spelande.,0.9,1016.71
126,Du.,0.58,1019.67
127,20 s ja men precis då.,3.08,1027.14
128,Ser vi kommit hmm vilken god väg.,2.69,1032.25
