,DisplayText,Duration,Offset
0,Störde destruction.,2.44,0.92
1,Sund nu ska gå till på första plats.,4.61,24.86
2,Hmm.,1.47,36.99
3,Jag har inte orkat.,1.3,39.33
4,Vad gör du och vart kommer du ifrån?,3.2,42.34
5,Id en kommer från stockholm. Vad gör du här nere? Kommer ifrån att jag vet att leda. De kommer att få yrsel.,8.49,46.52
6,"Trevligt att träffas. Det ska med vi ska spela spelet med andra ord. Vi måste beskriva i ord och jag ska försöka gissa att det var nog visades på surfplattan med en liten bild. Vi har en minut på jobbet, skrivbordet medan vi försöker att visa det finns en egen. Ni kan inte säga själva ordet eller varianter av ordet.",23.67,56.1
7,Tillåtna. Vi ska spela cirka 20 minuter efter spelet får välja egen lön. Redan nu kör vi.,8.29,83.13
8,Hmm söta kakor.,3.02,98.65
9,Hmm som smular väldigt mycket när man knäcker dem.,4.77,104.34
10,Godsaker vanilj oftast.,2.05,112.7
11,Hmm drömmar.,1.57,115.69
12,Ja.,0.63,117.95
13,Hmm.,1.32,121.22
14,Hmm djur som flyga den är ganska stor.,5.1,126.81
15,Fåglar som har ett väldigt distinkt läten som att rätt dotter. Hmm ja snygg.,12.19,133.58
16,"Hmm, man måste köparen för att öka brevet. Ja.",5.34,148.67
17,Den kristna fastan på ett problem.,1.81,155.03
18,"Slickar var alltså christie från fastän det är säkert. Ja, det är inte så ljus. Hmm hmm adress när jag hmm det men köper den på hmm.",15.56,158.84
19,Eller hmm så klistermärken så sätt på brevet för att betala hmm gjort hmm.,12.31,174.55
20,Ja.,0.68,186.91
21,Hmm.,1.51,191.77
22,"Insekt som väver hmm nät många, många tycker om den.",6.36,193.62
23,"Dom lever på flugor och andra insekter som fastnar snabbt ja, går av olika gåvor för alla giftiga och det finns en hel ja uppsättning filmer från morgon eller om en person född i ja precis.",19.87,201.73
24,"Nej, det var en gång på skolan eller universitetet och skriva tentan då ha får man någonting. Hmm, ja precis.",11.9,224.8
25,När det uppstår ändå stark.,2.83,240.75
26,"Elektrisk potential mellan himlen och marken, oftast under hmm av.",7.09,244.73
27,"Ja, det vill säga sig själv.",3.74,255.6
28,"Hmm, jag kommer använda en någonting, det finns på badrum med. Ja.",8.46,260.31
29,All vi kanske ja.,3.27,270.43
30,Sminka sig hmm gush hmm fönster liv men som för den gjord av glas som det brukar vara silver och ibland. Hmm.,12.57,275.65
31,"Hmm, vi äter i julafton på jul jul jul i sverige på hjul i sverige så att det blir nånting som jag brukar krydda med senap och brödsmulor och sen hmm jaha du det är en typ av tjänst. Ja gris.",24.13,291.3
32,"Ja, men den ser så har försökt från gris med dom men så här på ugn och hmm ja.",11.62,319.76
33,Det är det rummet som har en toalett. Jaha och tusch här. Hmm.,8.76,337.03
34,"En del av lägenheten, hmm, när man var man går över havet, tvätta sig och borsta tänderna och tvätta händerna.",11.99,345.84
35,Det är inte precis haha.,3.8,360.42
36,"När man målar så dockorna med föremål i färg och så stryker man över. Hmm, ja.",9.6,365.62
37,"Det är sjuk hö, då kan man gå till.",3.76,377.5
38,Jaha specialistaffär när man kan köpa ja hmm läkemedel.,6.53,382.2
39,"Om du får låna dom, vad man ska göra.",3.91,390.82
40,Hmm.,1.59,395.58
41,Det är första barnet blir varm.,2.53,397.98
42,"Men, hmm. En affär du köper medicin?",4.4,402.38
43,Hmm apotek och.,2.61,407.99
44,"Hmm, ett pris som man hänger runt halsen har varit en tävling, gjorde han, hmm.",8.31,413.67
45,"Hmm, första då förstås. Hmm, skulle middag.",5.23,422.03
46,,4.44,431.2
47,"Hmm, barn är rätt för någonting som inte finns på riktigt litet.",7.15,435.69
48,Hmm.,1.57,443.72
49,Hmm filmen filmen casper? Hmm.,5.75,445.72
50,Handlar om en sån här varelsen?,2.72,452.1
51,Ja.,0.55,457.34
52,"Hmm, många gillar har nånting hemma, hmm?",7.61,462.82
53,"Nånting som vi vann med 9 barn vidare, inga riktiga människor. Hmm ja, och bor ensam i en lägenhet så kan det bli lite tråkigt så hon brukar ta in andra arter i sitt hem som hmm.",17.23,472.54
54,Men det är bra. Hmm. En mördare kan hitta med val av trycket från sina skor ja.,12.08,492.39
55,Hmm avtryck här på stranden eller hmm där.,7.49,506.64
56,Ja.,0.72,514.7
57,Ja hmm.,3.49,518.51
58,Långa spiror som sträcker sig upp i luften från katedral till exempel. Hmm.,7.88,522.05
59,Hmm klar.,1.5,531.76
60,Hmm.,1.65,533.69
61,Ja ja okej lyster.,4.18,535.39
62,Hmm planta som hmm jaha så vad säger en sorts keramik? Hmm jaha ska man säga det är tur för dig och hmm ja så kör vi på skolbio dig.,18.58,542.35
63,"Eller nånting, men hör på mat som mat på mat så kan man äta till en. Det är bara och generellt allt. Alltså, vad har du växter i kruka? Det är okej.",13.98,564.23
64,Ja så det hmm ju som lever på försvarligt nordpolen.,10.72,580.23
65,"Kalla, det är kallt och att det finns mycket snö. Det är ganska stora. Hmm, då är stora och mordlystna. Hmm götalands jobb ja.",15.48,593.25
66,Hmm.,1.51,612.84
67,"Ja, det var ja, det var inte alls är så. Hmm blogg.",7.87,615.7
68,"Av till exempel kvart så hamnar man vill, säger sammanställer över döda kroppar, ja göra.",8.46,623.84
69,"Du var ju mer? Hmm. Det finns på kyrkogården också. Finns namnet och de döda personer som gör lite som du tavla men inte precis? Hmm, ja så ja.",15.76,634.15
70,Hmm.,1.57,653.48
71,När man sover så kan det hända att man får läskiga föreställningar.,6.52,655.88
72,"Ja, hmm, i sitt eget huvud listan ja till exempel hmm hmm.",8.89,663.48
73,Ja ja men en speciell sak hmm mot kändes är precis.,6.25,672.42
74,Ja.,0.51,679.54
75,Under sorts instrument som.,2.48,683.18
76,"Använder sina händer för att spela. Hmm, hmm.",6.44,686.59
77,Hmm tror hmm du är ny typ 5 olika delar hmm så ja.,8.27,693.85
78,Jaha.,0.69,703.48
79,Ja motsatsen till moster.,2.85,707.54
80,Hmm.,0.93,713.02
81,"Hmm, mormor.",1.58,714.89
82,Om du då? Hmm ja.,3.35,716.9
83,Ja.,0.87,723.7
84,Sommens hmm.,3.51,725.45
85,Kan inte gå hmm kanske efter hmm ja nånting produktion till exempel denna.,7.86,729.76
86,Efter en viss och cool och stam. Hmm inte kryckor utan det är liksom och till sitter också julgåva sina här och så kan man hmm rullstol av.,13.2,739.18
87,Hmm.,1.02,754.92
88,"Under em i friidrott, dansk a.",3.42,757.28
89,Men enbart sin hmm enbart sin egen sina egna liksom de en kropp ta sig över en pinne utan att riva ner så landar man på mattan. Hmm.,14.97,762.19
90,Det är stjärntecken.,1.44,782.84
91,"Hmm, och det är en sorts gent som har långa ord som betyder nåt som bara lever dom. Hmm, min första. Hmm, ja.",17.31,786.0
92,Hmm.,1.51,807.17
93,Hmm namn.,2.24,809.35
94,Ja då någon elektricitet koll från det grekiska ordet för det här föremålet.,6.42,812.08
95,"Hmm, och det är ju bara en kon om det hej sten, det jag dom dom här hur kyler and eller även varsin.",13.85,821.95
96,Hmm.,1.5,842.2
97,När regeringen eller den staten begär människorna i landet att bestämma en viss fråga jaha så får det bli som samlas och.,12.26,843.93
98,"Puss alla hmm anonym meddela även om vem de vill ha som bestämma själva hmm nu och hmm, vi är folkomröstning jobb.",17.53,858.25
99,Hmm.,1.72,880.55
100,Ja just ja destinationen för en semester utflykt.,6.45,882.32
101,Ja hmm.,1.68,890.53
102,Alltså det istället för haukur tid på semester eller ha mer gör din flytt när vi ville gå storsta? Hmm målet. Ja och hmm resmål hjälp.,14.26,893.87
103,Jo hmm.,1.9,911.18
104,Positive det finns seria a och att känna till cerium hmm finans.,12.37,916.36
105,Definierar den här filmen eller serien i form av musik.,4.75,930.14
106,Men man behöva hmm så passar du. Hmm sina timmar ja.,9.89,936.33
107,Ja.,0.64,949.28
108,"Visar 7 av dem i världen och en av dom är jesu stativ. Ja, det gjorde i val. Hmm.",11.75,951.96
109,"Ja, det var det var redan tror sig in. Ja precis.",6.23,963.76
110,Hmm.,1.35,971.97
111,Hmm.,1.62,973.86
112,N jim som har massvis med trådar den åtalade förr i tiden. Eller kanske också nu blir sådär med för att göra kläder eller tyg? Hmm.,14.15,975.53
113,Hej öl.,1.45,990.58
114,Ja hmm.,1.8,994.16
115,Hmm.,1.79,999.12
116,Hmm var ganska hmm hmm precision på kyrkan jaha och hanna en hatt och på dom lite hö står på stolen.,14.52,1002.54
117,"Ja, det är hela tiden. Vi har tack för att ni spelade mig tack vare.",7.29,1018.79
118,"Tigres, hmm hur det gick när vi just nu anses som har.",5.14,1032.68
