,DisplayText,Duration,Offset
0,Hmm imorgon är det just och pete vara nånting.,6.69,0.75
1,"Ett lite, speciellt inte körkort under dagen.",4.15,16.62
2,"Gärna, jag vill också ha en liten peng.",2.54,25.36
3,20.,0.84,29.24
4,Den.,0.34,34.88
5,"Jess, för att vi var det första gången dec.",6.03,39.14
6,"Den sociala medier och att bo på landet, så det är tak. Ja, vill vi inte din kusin fram? Det märks så tydligt perfekt och du ställer in.",13.7,46.99
7,Första stars.,2.32,68.49
8,"Hmm, det blir ju min.",1.8,71.79
9,"Autres hmm norge portion okej jo hmm sergej, så kommer jag till mig själv och sökes.",9.43,74.59
10,"Hjälp så att vi åker, ja, mirri jag skulle.",4.84,86.26
11,Hmm ja jisses vilken match som vi ska in.,6.19,94.0
12,"Spännande? Ja du, jag var barn.",2.23,104.55
13,Hmm.,1.49,108.66
14,"Hmm, jag inte orkar.",1.97,110.31
15,"Hej, vad heter du och var kommer du ifrån? Hej, jag kommer från småland och jag vill tala.",6.91,113.7
16,Vad heter du går upp mac kommer ut från jag heter ida och kommer från detaljer.,5.36,121.5
17,"Trevligt att träffas. Vi ska spela spelet med andra ord, men jag måste beskriva. Då kunde jag försöker tysta ner. Varje år visas på surfplattan men ni kan vi har en minut på hur skrivandet medan vi försöker att visa det.",18.46,127.77
18,Säga själva ordet här i varianter av ordet alla andra strategier för att beskriva ordet är tillåtna.,7.09,148.49
19,20 minuter efter spelet får välja miljön. Redan nu kör vi.,5.47,157.63
20,"Ja, hmm, jag vill inte vara en person som hmm som skapar.",7.72,171.75
21,Saker som man kan äta med bullar och bli oftast gjorda av bil.,7.19,181.16
22,"Bara, ja får man se hur det var.",3.82,189.78
23,"Ja, det är korrekt.",0.89,195.54
24,Gissa rätt ju.,1.06,200.07
25,"Om man ska hämta medicin, ja då går man till.",4.74,205.88
26,Ett hmm nätet.,2.88,211.86
27,"Nej, det funkar med den på plats. Hmm ja inte lika utan mer tid på recept om man ska hämta medicin på vissa.",10.73,216.33
28,Allt e rätt.,2.26,233.82
29,Ja hmm jag antar ja.,2.53,239.09
30,Hmm.,1.62,242.83
31,Ja när det åskar.,3.12,244.5
32,"Hmm, den grejen som producerar oscar är en ja, en ström av romer från golv till andra modeller. F idioten är inte den.",12.22,248.59
33,Ja.,0.86,261.97
34,Hmm okej. Hmm.,3.0,266.32
35,De andra var korrekt.,1.52,271.45
36,"Ja, hmm. Från en höna så kom på en hög och har vad kroppen. Hmm järn korrekt.",12.2,275.53
37,Hmm det en bit aldre hmm glass oftast med metall bakom som en person kan använda för att det säger sig känna hmm.,14.31,292.08
38,Hmm korrekt.,1.34,306.62
39,"Hmm, det är mat rätter som kommer från gris, haha.",5.74,311.49
40,Vad är det då?,0.92,319.59
41,Man kan hålla till smörgås.,1.61,325.04
42,"På jord också hmm, men ser man på oss med sina på sidan korrekt? Ja.",8.05,328.31
