,DisplayText,Duration,Offset
0,"Jesus kors ja vi fixar oss just nu, så vi får inte size.",5.75,1.42
1,Inomhus constructing.,1.76,12.44
2,Tickets.,0.89,16.78
3,Just think you may så mobila livet som aldrig förr.,5.48,23.31
4,Första.,1.42,31.14
5,Gästrum.,0.7,35.7
6,Kit.,1.52,38.56
7,"Tråkigt. Ja, vad kul.",2.62,43.66
8,Hmm.,1.48,52.15
9,"Hej, jag inte orkar.",2.14,53.68
10,"Brand och vart kommer det ifrån? Ja, jag heter nicolas. Jag kommer från argentina.",7.21,57.56
11,Vad gör du jag inte simma från tänka sig att man kommer från hmm här i sverige i linköping.,7.68,68.24
12,"Trevligt att träffas på samma. Vi ska spela spelet med andra ord. Vi måste beskriva gjort och jag ska försöka gissa till varje pris på surfplattan med en liten bil. Vi har en minut på sig att skriva om, men jag försöker resa. Det finns en vecka.",19.23,76.81
13,Hmm alla andra strategier för att beskriva orden är tillåtna.,4.43,100.14
14,Vi ska spela cirka 20 minuter efter spelet. Får välja miljön redo nu kör vi.,6.68,105.38
15,"Någonting du får i skolan, hmm, som ett bevis på att du har klart med utbildning.",5.16,118.92
16,Ja.,0.74,125.0
17,"Hmm, du får det på papper provet.",2.67,128.47
18,Ja.,0.69,132.12
19,"Ja ja, är ett av dom. Du kan också ha en bcd här.",4.86,134.11
20,Ja.,0.7,140.0
21,Hmm.,0.82,142.33
22,"Nej, det är hmm.",3.07,144.46
23,Du kan inte säga att du kan söka till högskolan i denna om den nästan en kylig för detta hmm där ensam. Hmm it appears.,12.68,149.28
24,"Hmm, det här priset som du får om du har vunnit en idrottstävling.",6.17,169.04
25,"Hmm, medan, hmm, ja, och förstapris.",4.31,177.02
26,"Hmm, dom här, hmm, det finns du, du sa ordet tidigare, det finns brons, silver och det bästa är vad? Hmm.",11.35,185.52
27,Hmm nej hmm.,2.96,197.9
28,Hmm ja ja ja.,3.71,200.91
29,Hmm. En person som är gift med tungan.,2.87,205.93
30,Ja.,0.84,210.0
31,"Hmm, det är är en kvinnlig mark.",4.76,216.46
32,Hmm.,1.6,227.42
33,Till dessa.,0.95,229.42
34,Ja.,0.65,231.71
35,Hmm.,1.5,235.07
36,"Hmm, en kung är hmm gifter med hmm, prins.",7.35,236.63
37,Ja nej nej nej en gifte med hmm.,6.06,244.27
38,Ja precis.,1.34,250.38
39,Hmm okej.,1.93,253.91
40,Såhär en jaha det här hej hmm billigt kakel du kan köpa du. Det är också någonting som gör att uppleva när du ligger i hmm sen och sover.,15.08,258.62
41,"Hmm, människor.",1.49,275.6
42,"Hmm, nej, det blir nog bli ändå flera sätt när du sover ofta visuella intryck.",7.02,278.04
43,Hmm drömmar.,1.57,286.41
44,Skit.,0.64,288.55
45,Hmm. En insekt med ofta vinna.,2.46,291.86
46,De små knattarna? Ja.,2.7,296.61
47,Hmm spinner ofta nät ja.,3.22,302.27
48,"Hmm flyga hmm nej, det sa, hmm, den här insikten fångar ofta fru i nät. Ja, det är inte riktigt så kry som ofta fångar flugor i natt.",16.63,309.08
49,Hmm. Synd att hjälpa ditt.,2.8,331.1
50,Hmm.,0.94,339.11
51,Detta sker vid oscar.,1.81,341.13
52,Ja.,0.79,344.27
53,Hmm.,1.5,348.77
54,"Det är elektricitet som avger ljus och som kan vara skadligt om du träffar den. Hmm, helt.",9.24,350.8
55,Hmm.,1.1,363.57
56,"Det här är någonting som sitter på fåglar. Ja, som dom har så mycket styrs en hmm.",9.7,365.93
57,Hmm helt.,1.39,375.68
58,"Hmm, du använder att måla.",2.12,380.89
59,Ja.,0.82,384.54
60,Hmm konst.,1.51,387.75
61,Målar med en.,1.66,389.57
62,"Någon en är konst. Hmm papper, nej, du behöver papper ändå. Vi har över också.",9.58,394.8
63,"Ja, det är en sorts borste som målare.",3.56,405.8
64,Hmm.,1.77,410.85
65,Hmm.,1.26,416.28
66,En person som har som yrke att göra bröd eller bakelser.,5.98,420.86
67,Ja.,0.78,428.66
68,Hmm hmm badare hjälpa dig.,3.58,432.43
69,Hmm.,0.75,439.5
70,Ser glas hmm.,3.43,441.74
71,"Ja, det här reflekterar ljus. Du kan också se dig själv i anna.",6.29,447.8
72,Hmm.,1.58,460.19
73,Hmm.,1.6,462.14
74,"Hmm, skulle jag? Nej, nej, den är gjord av glas. Hmm, de har ofta silver på baksidan.",6.63,463.79
75,"Du ser ju själv i den. Hmm, många.",3.65,473.1
76,"Varit på i badrummet. Ursäkta, kan du säga igen.",3.02,476.8
77,Skulle vilja ha rätt.,2.15,480.66
78,"Hmm, du har rätt att på brev, hmm, för att visa att du har tagit bort från hmm nej nej hmm du kan samla detta. Hmm on nej det ligger längst upp i hörnet på ett brev. Hmm du hoppas det någon sorts klister hmm.",25.67,486.44
79,Helt rätt.,0.62,513.6
80,Hmm nära.,1.51,519.44
81,Kan inte? Hmm.,3.91,521.83
82,Hmm promenera hmm kon.,3.86,525.98
83,Nära du sitter i detta?,1.88,530.84
84,Hmm rullstol det.,2.42,534.57
85,"Hmm, du lämnar det här bakom dig när du har gått i snö eller sand.",4.7,539.96
86,Ja.,0.66,546.07
87,Kan också användas för att spåra. Hmm.,4.85,551.29
88,"Vår, det är helt perfekt. Tyvärr använder jag ordet ja.",4.45,557.13
89,Hmm okej ja.,3.62,566.29
90,Gatan är jag till min farmor eller till fall.,3.18,572.19
91,Ja.,0.85,576.54
92,Hmm dom.,1.52,580.03
93,Ett steg ner.,1.07,582.86
94,Hmm jaha det är du som det du sa ringer i taket med 2 sängar ja.,6.82,585.16
95,Hmm dom.,1.49,595.28
96,Helt.,0.55,597.18
97,,0.79,599.33
98,Hmm.,0.65,605.04
99,"De har detta i fönstret, det är ja, du kan till exempel vara en blomma eller koden. Nej, hmm.",12.32,609.11
100,"Hmm, det här innebär eller utomhus.",3.68,621.48
101,Hmm.,1.59,626.24
102,Där det kan vara med om man vill ha en gryta.,3.93,628.84
103,Hmm.,1.57,634.27
104,Jobbet.,0.63,636.35
105,Hmm. På sovrummet då var det dina kläder. Hmm finns hmm i hmm.,10.1,640.79
106,Hmm.,0.27,651.03
107,"Hmm, du behöver fylla i detta på en hemsida för att logga in.",4.25,656.12
108,"Hemsida är det både datum, hmm. Lösenord slutet.",5.45,662.76
109,"Hmm, när någon är del?",2.3,673.43
110,"På semester i centrum, på kyrkogården.",3.72,676.71
111,"Så ställer du upp detta ovanför hmm, där någon dödligare.",5.69,681.46
112,Hmm ja sten ja.,3.21,688.69
113,Hmm.,1.5,693.89
114,"Du har hemma för sällskap, det kan vara en hund en katt i en kanin eller någonting liknande.",4.59,695.44
115,,3.33,701.26
116,"Nej, jag saker super typen av detta, hmm?",5.35,704.7
117,"Hmm, jag är.",2.28,710.1
118,Hmm.,0.68,717.57
119,"Det här är en sorts instrument innefattar hmm trummor, telefonerna marimba, hmm.",8.32,720.48
120,Sover helt.,1.81,729.21
121,Hmm.,0.98,733.63
122,Det här är ett stort vitt djur som lever på något problem.,3.02,736.02
123,Hmm.,1.49,744.32
124,Hmm sjölejon.,1.63,745.96
125,"Hmm, större. Det här är också. Det här är listan är viktigt. Vi sett med många marklevande big ur.",9.41,747.96
126,Ja.,0.6,759.28
127,Hmm björn.,1.49,763.29
128,Jag bröt.,0.68,765.31
129,Hmm.,1.49,772.53
130,Det här är viktigt i en demokrati du har för att låta folk bestämma. Hmm.,6.85,778.47
131,"Billiga, detta infördes i sverige 1921.",3.44,785.73
132,"Hmm, vi har politik att göra. Hmm. Det krävs för att vi ska kunna ha val.",5.89,793.18
133,Hmm plötsligt helt korrekt.,3.65,800.3
134,"Hmm, och nätter när du hmm, sova. Hmm.",6.9,807.62
135,Sig från morgon? Inte det.,4.91,816.37
136,"Hmm, det här är en sport för en os gren.",4.08,827.62
137,"Hmm, det går ut. De ska ta år för en nypa, hmm.",5.51,832.66
138,"Slå nästan du använder inte ens ta, det hade bara min kropp.",5.43,838.56
139,"Hmm, jag trött.",2.32,849.38
140,"Hmm, det här är en sorts smycke som skapas av kåda som kommer från trädet. Den har en orange färg är ganska klar. Hmm nej hmm det skapas framför allt i träd.",21.04,856.39
141,Hmm stenar det sa är andra halvåret. Hmm.,7.74,878.96
142,Hmm ja.,2.21,886.75
143,Hmm.,0.86,896.4
144,Det här är en person som hanterat slagverksinstrument.,4.85,901.54
145,Ja.,0.57,908.06
146,Hmm.,1.57,912.44
147,Hmm.,1.73,914.06
148,Hmm.,1.63,915.85
149,"Den vanliga instrument på militären, den första turist.",7.0,919.85
150,Jag är trött.,0.57,928.73
151,Hmm.,1.51,933.87
152,"De fall av deras fika politiska frågor. Hmm, så behövs en sån här. Hmm. Du kan inte hanteras av politiker toppen när det måste hanteras av alla människor i landet.",15.65,935.43
153,Hmm beslutet.,1.49,956.45
154,,3.1,958.29
155,Det är demokratiskt snus ja.,2.95,961.44
156,Ja vi kan ju lisk hmm.,3.04,971.23
157,Ja.,0.71,974.32
158,Högst figur ja.,3.09,976.71
159,"Hmm, det här är en av de högsta figurerna i den katolska kyrkan, men personligen fortfarande under påven.",7.55,983.12
160,Hmm posten hmm nej det är det finns oftast en sån här i varje kyrkor distrikt.,8.22,992.06
161,Hmm. Person som står ovanför tester.,2.46,1003.43
162,Hmm kappa om.,1.64,1007.05
163,"Nej, det är riktigt vad det här. Hmm.",2.62,1010.12
164,"Ja, det är den.",1.39,1013.97
165,"Ja nej vet du, det här är en lampa i waco.",4.27,1016.55
166,Ja.,0.49,1022.5
167,Hmm ja nej sverige.,1.84,1024.97
168,Hmm.,1.58,1027.7
169,"Okej, du använder en sån här för att skapa hmm, tyger och i vissa fall mattor.",7.64,1035.47
170,Ja.,0.74,1043.94
171,Hmm.,1.5,1047.96
172,Hmm.,1.43,1050.51
173,Den andra är korrekt.,1.24,1053.37
174,Hmm.,0.71,1058.98
175,"Såväl andra malmö copenhagen, det finns en.",5.79,1062.39
176,Ja.,0.45,1068.63
177,Hmm.,0.77,1072.52
178,Hmm.,1.59,1074.51
179,Hmm.,1.6,1076.33
180,"Hmm happy det i stort sett korrekt, men det finns inte mellan malmö och köpenhamn. Det är hela tiden i takt med spelare mig tacksamma.",10.66,1078.5
181,"Hej, det är i mars.",2.04,1094.85
