,DisplayText,Duration,Offset
0,Sådär uppstår ingen hos oss.,2.92,27.18
1,Hmm jo wilfried SK cookies.,3.7,31.11
2,Stäng.,0.55,38.62
3,Jättesteg.,0.95,42.2
4,Hmm.,1.86,45.73
5,Testa livet vad vi kan vänta jättelänge copy in.,5.31,48.41
6,Hmm.,1.5,59.97
7,Jag inte orkar.,1.24,62.34
8,"Vad heter du och var kommer du ifrån? Hej, rätt till det. Jag kommer från stockholm.",6.07,65.32
9,Och har du det inte själv kommer vi ifrån.,3.41,72.46
10,Trevligt att träffas.,1.31,78.46
11,"Vi ska spela så är det med andra ord. Vi måste beskriva i ord och jag ska försöka gissa till vad visas på surfplattan med en liten bil. Vi har en minut på hur beskriva det? Men jag försöker att läsa, det finns ingen.",16.28,81.44
12,Alla andra strategier för att beskriva ordet är tillåtna.,3.81,102.53
13,Vi ska spela cirka 20 minuter efter spelet får välja en bön redan nu kör vi.,6.72,107.07
14,Hmm.,1.51,120.64
15,"Det är nånting som du kan titta på dig själv i jaha, den hänga i badrummet.",5.66,122.2
16,"Du kan säga hur du syns. Hmm, idag.",2.92,138.72
17,Hmm usch.,1.51,145.05
18,Hmm.,1.54,147.03
19,Hmm.,1.53,149.08
20,Hmm.,1.59,150.66
21,Spel spela det.,2.33,152.9
22,Nedan kött man många personer hittade? Hmm.,4.02,159.72
23,Man kan vara på macka.,1.35,164.84
24,Hmm.,1.4,169.12
25,Hmm skicka.,1.48,172.09
26,Hmm.,1.21,178.43
27,Hmm.,0.76,180.94
28,Hmm hmm.,2.8,184.44
29,Får utse 3 på halloween. Hmm spöke.,4.42,187.55
30,Hmm.,0.97,193.21
31,Hmm.,0.74,198.12
32,Där.,0.69,200.34
33,"Jaha, du köpa eller använda så lätt.",3.77,202.44
34,Hmm dag.,1.5,211.13
35,Hmm usch.,1.46,214.14
36,"Det här är en person som jobbar med, hmm?",4.55,218.42
37,Göra saker man kan äta.,2.64,223.02
38,Hmm hantverkare.,3.91,230.42
39,Hmm bagare fort.,3.06,236.14
40,Hmm.,1.2,242.73
41,"Använd väldigt viktig person, ja.",3.74,248.39
42,Hmm idag.,1.58,254.29
43,Jag har dom har dom krona på huvudet? Ja.,3.38,255.92
44,Hmm.,1.49,263.21
45,"Nej, men det är nära jaha.",3.14,265.87
46,Hmm lottning.,1.55,272.17
47,"Hmm, det som ett litet djur som en insekt med det här inte är inställt. Jaha, det behövdes och att fungera.",10.54,278.66
48,Ja.,0.47,291.7
49,,3.0,296.2
50,Det är en miljö som har lina.,2.4,303.67
51,Natten hmm.,1.69,309.59
52,Lillabus.,0.72,318.23
53,,2.52,320.21
54,Hmm om man kommer först på S så får man ja.,5.61,326.06
55,Hmm med adam.,1.45,335.17
56,Nej tiden.,1.96,337.75
57,Om man kommer aldrig först med formade ja.,3.53,341.17
58,Hmm guld.,1.58,348.22
59,Om du lägger upp dom fotade gissningar så kommer du. Hmm.,7.19,352.09
60,Ja.,0.27,359.65
61,Ja.,0.56,362.16
62,Om du skriver en bok och en?,3.15,367.73
63,Hmm recension.,1.56,375.27
64,Hmm omdömen jaha.,2.86,377.2
65,Det är nära omdöme men inte riktigt om denna jaha.,3.94,382.3
66,"Du får jag läraren, hmm?",3.74,387.51
67,Hmm.,0.28,391.32
68,Hmm.,1.1,394.55
69,Om hon hmm om det regnar så så kan det komma någonting annat än bara regn jaha som kan det kan bli bränd av hmm.,14.1,396.25
70,Då borde jag om vi vill köpa gick ner.,2.54,415.28
71,Sjuk.,0.34,422.09
72,Hmm.,1.45,440.26
73,"Hmm, nej, det är det som är butiken. Ja.",6.16,442.6
74,"Hmm om du ska skicka någonting till utlandet eller till en kompis som bor någon annanstans i landet, vad behöver du sätta på paketet för att dom för att det ska komma fram personen? Hmm flygning ja.",14.46,452.04
75,Hmm.,1.5,474.0
76,Hmm.,1.72,475.55
77,Vad kallar man om du tänker medan score pastel? Ja.,5.16,478.4
78,Hmm.,1.5,487.24
79,Hmm drömmar hej.,1.92,489.33
80,Hmm.,0.78,495.26
81,Om hon är en väldigt kallt.,3.33,500.19
82,Ja.,0.83,504.45
83,Hmm.,1.54,510.15
84,"Nej, men det är lite ja.",3.94,512.78
85,Hmm.,1.5,520.3
86,"Nej, den är så här.",2.1,521.89
87,Jaha.,0.64,525.96
88,Hmm sjölejon nej nej hmm.,5.23,530.3
89,Hmm ja ja ja oj.,5.05,535.58
90,Hmm.,1.12,541.96
91,"Om du ska spela, hmm?",3.1,544.63
92,"Det är nånting som man använder för att göra musik en kategori på saker som man använder för att göra med sig. Jaha, du kan ju jutsu den takten på musik hmm.",12.96,548.8
93,"Hmm. Om du inte kan använda benen, vad använder du för att ta dig? 5 jaha.",7.09,564.13
94,Hmm.,1.57,574.37
95,Hmm.,1.54,575.99
96,Ja.,0.82,577.92
97,"Någonstans mittemellan kryckor och bil, vad får du då? Jaha.",4.88,579.62
98,Hmm rullstol.,1.56,588.33
99,Hmm.,1.49,595.13
100,Jaha.,0.76,598.59
101,"Hmm, vad? Jag har på gång.",3.66,600.71
102,"Är du använda dem för allt? Ja, han öppnade in till exempel eller för att logga in på en sida? Ja.",9.64,607.63
103,Hmm såg jag.,1.77,620.38
104,Hmm.,0.66,624.17
105,"Nej uppgifterna, hmm? Vad använder du för att komma in så? Hmm lösenord ja jaha.",9.95,627.18
106,"Det här, vad kallar man? Hmm, sin pappas bror lite.",5.83,639.33
107,Ja hmm grupper.,2.6,648.3
108,Hmm.,0.86,651.9
109,Hmm.,1.57,655.39
110,"Ja nej nån som är släkt med din pappa. Jag ha ett syskon till pappa. Hmm, ja.",10.3,658.15
111,Ja.,0.78,669.6
112,Hmm. Om du inte har tid på en äta en.,4.3,672.8
113,"Gå där, och du kan äta det.",2.19,678.81
114,"Hmm. Mot hmm, yours.",3.53,685.43
115,Nära man inte. Hmm snabbmat jobb.,5.56,690.82
116,"Hmm, en en sport som man gör på volvo, s ja.",7.42,698.74
117,Hmm.,1.48,709.39
118,Hmm.,0.39,711.66
119,"Hmm, det här är ett djur som bor på berg. Ja.",5.8,715.6
120,Hmm.,1.59,723.62
121,Hmm bok hmm får.,3.47,725.47
122,Nära vanlig.,1.61,730.85
123,Hmm stenhårt ja.,2.34,737.42
124,Ja hmm.,3.61,740.55
125,"Det är någonting som sitter på en byggnad. Jaha, som som en religiös byggnad. Ja.",7.17,745.45
126,Hmm 20.,1.51,756.42
127,Det går bara till klär på den saker. Ja.,5.48,761.16
128,"Om du tar ut dina kläder från hmm. Nej, hmm.",7.04,771.98
129,Ja.,0.64,781.27
130,Hmm hmm.,3.68,785.1
131,"När hon har rätt så kan man sätta upp någonting för att hedra minnet av den personen. Hmm, vad ska ja ja.",11.18,790.25
132,Hmm.,1.58,803.09
133,Hmm hmm den speciella rör hmm det är gudfar.,7.62,805.14
134,Hmm guld.,1.49,817.49
135,"Nej, hmm, det kommer från koda tror jag från början. Ja från träd och sen blir det den här överträdelsen. Väldigt samtida gott, ja.",11.76,820.01
136,Hmm spelar hmm barnslig.,3.99,835.49
137,"Några personer har de i dag ljus att den är en virkad en liten vän. Hmm som husdjur, ja.",10.92,843.54
138,Hmm.,1.68,855.7
139,Barn får inte handla på hmm systembolaget på grund av det här jaha.,6.65,858.17
140,"Hmm, begränsa.",1.5,868.45
141,Hmm. Åldersgränsen hmm åldersgräns hmm.,5.09,872.08
142,Jaha. Hmm.,3.5,878.04
143,"Det här används för när vi ska bestämma ny regering i sverige till exempel, ja.",6.31,881.87
144,Hmm folkomröstning ja ja.,4.51,890.85
145,"Den är lite fika i en kort. Ja, det är väldigt viktigt. Ja.",7.72,900.44
146,Hmm.,1.5,911.51
147,Hmm.,1.5,917.56
148,"Ja man kan donera. Hmm, det här från sig själv till någon annan. Ja.",7.5,920.05
149,Hmm.,1.51,930.53
150,Ja.,0.72,933.0
151,Ja.,0.72,935.56
152,"Hmm, det är ett typ av boende. Ja, hmm. Serien stan.",8.25,938.18
153,"Hmm, det är typ av boende där flera av samma typ av bonus ihop med varandra. Jaha.",6.58,967.11
154,Hmm.,1.75,977.42
155,Jaha hmm san francisco har en väldigt känd här.,4.9,981.86
156,Hmm san francisco väldigt känd röd sån här typ av grej.,5.4,998.52
157,"Ja, det kunde koppla dig hmm jaha.",7.45,1004.92
158,Hmm ja person.,2.74,1015.94
159,Hmm kungen.,1.54,1023.6
160,Hmm tjej.,1.49,1029.59
161,Hmm disco jaha det är hela tiden. Vi har tack för att ni spelade in mig tack tack.,10.64,1036.55
162,Hmm.,0.44,1053.07
