,DisplayText,Duration,Offset
0,An vi köper och kör ett första världskriget.,6.32,11.74
1,"Okej, jag ju brukar alltid vara i paris.",5.26,24.24
2,Veckans.,0.98,35.62
3,Hjärtat sker.,1.2,46.71
4,Hmm.,1.03,49.67
5,Hmm.,1.5,56.9
6,Jag inte orkar.,1.26,59.33
7,"Hej, vad heter du och var kommer du ifrån?",3.43,61.97
8,Hmm.,1.62,67.75
9,Vad heter du ju själv? Vart kommer du ifrån jag ersätta? Jag kommer på island.,5.29,72.94
10,Trevligt att träffas.,1.45,79.34
11,"Vi ska spela felet med andra ord, ni måste beskriva gjort och jag ska försöka gissa till varje visades på surfplattan med en liten bil. Vi har en minut på jobbet skrivna ordet medan vi försöker att visa. Det finns en egen. Ni kan inte säga själva ordet eller varianter av ordet alla andra strategier för att skriva ordet är tillåtna.",24.76,82.32
12,Vi ska spela cirka 20 minuter efter spelet. Får välja miljön. Redan nu kör vi.,6.7,107.94
13,Jag har blivit film.,1.54,138.34
14,Okej.,0.51,150.93
15,"Hmm, det finns på halloween.",2.3,154.66
16,"Tredje, 1 oktober.",1.73,158.28
17,Ofta ska man ut sig hmm tänker på men hmm är mitt men ja när laken kanske ja och svalöv.,11.04,162.2
18,Jag har inte så och den vi pratar lite högre.,3.47,177.48
19,När jag vet att brukare och svart ut. Hmm.,6.37,182.17
20,Flyger.,0.72,189.87
21,"Hmm, sjukhus tidigt.",2.08,193.8
22,Lite läskigt.,1.27,200.12
23,Hmm.,0.47,205.71
24,"Skrämma, folk.",1.01,209.32
25,Hmm.,1.51,221.65
26,I mitt hus finns toalett eller okej rouge.,4.92,225.15
27,Det är ett rum ett rum. Hmm. På toalettvatten.,5.94,232.18
28,"På morgonen för att hmm, ja borsta tänderna.",5.06,241.96
29,Hmm badrummet hmm usch.,3.13,249.46
30,Hmm fast.,1.18,254.44
31,Hmm.,1.48,258.64
32,Det är tyvärr tyg föremål som man kan använda för att måla i vården.,8.14,261.55
33,Hmm.,1.24,274.04
34,Michael om baka son att måla huset.,5.0,278.95
35,"Små, han liten och stor.",2.68,287.37
36,"Hmm. När man sätter liksom färg på gården, sedan använder man den.",4.79,293.59
37,"Ja, hon går under min prata lite högre.",3.65,302.12
38,Den har många vår.,1.47,307.32
39,Hmm.,0.38,311.31
40,Hmm.,1.49,317.91
41,"Hmm, det här är ett väderfenomen.",4.4,322.23
42,"Om, värme och mjöl.",2.22,331.31
43,Brukar lysa till hmm?,3.78,336.67
44,Och man kan se hur sig själv.,2.4,343.88
45,Bakgrunden till exempel.,1.54,353.56
46,"Hmm, ska man stå framför allt sig själv.",3.59,357.9
47,"Hit, små står och kan se bara.",2.79,364.81
48,Känsligt och eller hela kroppen?,2.34,370.69
49,Finns också på ikea.,1.21,380.13
50,Hmm skön.,1.5,384.97
51,Jag kan se sig själv.,1.4,388.68
52,Hmm.,1.57,391.49
53,Hmm ja.,2.2,393.29
54,O sverige har en kon och en ja.,3.72,400.39
55,En.,0.93,407.58
56,De bor i slottet den person han speciellt rank.,5.02,411.48
57,Ja.,0.77,417.15
58,Hon heter silvia.,1.33,420.21
59,Hmm.,1.59,424.53
60,Hmm ja.,2.04,426.17
61,Man brukar använda dit ut till lätt som en aha.,5.39,433.07
62,Man får en hamn.,2.1,443.98
63,Hmm.,0.28,450.16
64,Det finns också en ö II skärgården.,3.86,455.31
65,Hmm.,1.57,462.54
66,Hmm gäller ja.,2.29,465.52
67,Tillverkning äckligt.,1.45,471.74
68,Intervjuer en många viner.,2.93,474.83
69,Hmm synd.,1.41,482.17
70,Efter man har en mental mannen får en.,4.49,488.51
71,Bedömning i alderney.,2.17,495.51
72,Nummer hmm.,2.39,499.16
73,Som visar hur bra eller dåligt det har gått eller omdöme.,4.9,503.36
74,Den.,0.42,510.06
75,En bokstav för resultat.,3.53,513.13
76,De får en ett resultat som 2 1.,2.76,518.89
77,Hmm.,1.45,526.04
78,"De säger väl mer om hur bra du har gjort ifrån dig i kursen till exempel? Hmm, ja.",7.22,533.22
79,"Där man där man är sjuk mor till läkare och efter det får man. Hmm, besök och otur.",9.66,543.34
80,Lämna det.,0.7,556.99
81,Till när man lämnar projektet så får man läkemedel.,3.73,561.06
82,Hmm. Nätet är läkare.,3.47,567.6
83,Hmm ja det ja.,2.04,572.61
84,Om.,0.56,580.1
85,Sim.,0.57,584.48
86,"Hmm. När man köper en rutt är en person som har gjort en röd, hon heter det, hmm.",9.1,590.29
87,"Hmm, specifikt för från eller ja, han e buller.",6.03,601.12
88,Hmm bagaren.,1.65,609.64
89,Hmm hmm. Måste springa med sin hud och.,6.38,614.07
90,Man får.,1.08,623.55
91,De har en sport ja hmm där man får.,5.88,628.87
92,Man måste hoppas och spridas.,2.7,637.44
93,,2.24,642.86
94,Man får liksom springa och ta sats med mycket. Hmm så nära hej.,8.86,646.92
95,Jag har en släkting.,1.53,662.31
96,Hmm.,0.65,666.05
97,Och.,0.43,669.83
98,Pappa pappa nöjdare med en toppas hmm.,5.47,673.89
99,Kasta? Det är en man.,2.87,684.84
100,Syskon från min pappa?,1.94,694.36
101,Hmm.,1.52,699.59
102,Man kan ibland använda orden på en äldre man också.,6.5,702.98
103,Hmm.,0.28,714.43
104,Hmm.,0.3,721.3
105,Det är ett av stjärntecknen? Ja.,3.12,723.75
106,"Djur som bor i fjällen, eller?",4.63,730.26
107,,2.23,747.71
108,"Det är inte så stor, men dom har hon 2 0.",3.1,751.81
109,Jag har inte så bra utan vi pratade lite högre.,3.38,760.11
110,De är djur som bor i fjällen i kväll. Hmm 2 mån 2 mån till stjärntecken också. Hmm får.,11.7,765.68
111,Hmm ja.,1.93,779.69
112,Ja hmm hmm.,4.56,784.25
113,Fast i ihop kosten.,1.91,790.22
114,Du runt.,1.81,793.27
115,Hmm hmm.,1.42,798.26
116,Ja.,0.34,804.23
117,Ändå tala mycket pengar för dig. Hmm. Är nog.,4.48,811.23
118,Hmm tjena hmm bärnsten ja.,4.05,817.72
119,Hmm.,0.62,828.53
120,"Om man är catholic man, gå på en speciell plats.",5.44,831.75
121,Ja.,0.27,839.52
122,"Hmm, ja att det finns en stor stor, hmm.",5.31,846.08
123,S struktur som promoters glittrar upp finns många styrningar stiger när man är trött just nu i en trapp stol.,11.6,856.11
124,"Hmm, men det finns på en plats där man man byta.",4.58,871.57
125,Ja finns på plats en hit.,1.85,880.38
126,Ja.,0.58,884.29
127,"Där man går till max eller med danne. Jaha, då får man den här typen av mat.",7.43,887.98
128,Ja.,0.59,897.81
129,Anmäl brukar inte äta mellan cam.,3.07,901.15
130,"Marie brukar inte äta det ibland, men hmm. Snabbmat.",4.9,905.82
131,Hmm.,0.77,916.82
132,Ord man använder när man pratar med familj.,2.92,920.56
133,Många farmor och farfar har många gifter en hmm.,6.0,927.47
134,De brukar liksom prata om om personen hmm sökningar.,8.4,937.56
135,Hmm barn ja.,1.93,947.83
136,Hmm man kan ha dom här sakerna hemma för en lite trevligare. Hmm det är god n hej gubben det finns i huset hmm kommer.,18.02,954.16
137,,2.63,973.79
138,Man sopar hmm.,3.03,983.55
139,"Många saker i huvudet, det ibland. Hon har inte så bra saker i livet som man har.",9.24,988.85
140,"Man kan liksom vakna hmm, fast man vaknar upp först. Hmm morgon.",8.47,1001.21
141,Det finns i san francisco.,2.19,1014.95
142,Och i resterna eller har erkänt lagt märke för en fantastisk över över vatten.,7.26,1019.71
143,"Det hjälper att man kan gå över vatten och koka i vatten, hmm, men det är jättelångt, hmm.",9.62,1030.58
144,"Jag kan inte tro felen man åkte dit solen. Nej, man åka med sin bil över en lång lång kö ja gåtan.",9.96,1049.05
145,Hmm tänka.,1.99,1061.87
146,Hmm.,1.69,1068.55
147,"Man sitter i det här, och ja, skapar.",5.68,1072.69
148,Jaha.,0.74,1082.74
149,Hmm syn.,1.49,1086.86
150,"Hmm, väl stort.",1.98,1088.78
151,Det är en man hmm som arbetar på en kyrkan. Hmm. Och hon har en verkligen hög position i kyrkan.,13.3,1093.55
152,Hmm.,0.4,1110.42
153,Nathan disk.,1.32,1115.14
154,Enmalm på en kyrkan. Hmm kata om hmm kejsaren. Hmm mysko.,7.92,1120.17
155,Hmm.,1.49,1132.69
156,Man har.,1.1,1135.41
157,"Kanske vissa destinationer som man vill åka till? Ja, hmm. Det finns ett ord som beskriver hmm resmål.",10.66,1138.82
158,Vem finns många platser som är verkligen viktig. Hmm?,5.17,1158.52
159,7 stycken som anses vara.,3.22,1165.91
160,Hus.,0.81,1172.68
161,Enligt gamla annat större som har en viktig historisk betydelse.,6.92,1177.44
162,Body avser africa i mer ica.,5.48,1191.44
163,Stor stor.,1.59,1200.89
164,Hur ser en kyrka.,2.13,1204.84
165,Det är hela tiden jag tack för att ni spelade mig.,4.3,1211.87
166,Vet alltså.,0.83,1228.32
167,"Kristina willgård vaccin och bli starkare. Ja, en gudstjänst.",5.27,1231.75
